Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
B. Badio,G,,7.8,55.53,60.93,7.812,0,0,4.84,0.56,0.0,55.6,105.0,1.63,13.825
O. Yurtseven,C,,9.4,104.35,59.84,6.366,0,1,6.33,1.33,52.17,104.2,136.0,1.48,14.053
S. De Larrea,G,,6.2,57.75,58.99,9.515,0,0,0.66,0.58,0.0,58.0,91.0,1.2,13.825
T. Shorts,G,,12.0,55.71,58.47,4.873,0,0,2.2,0.56,0.0,56.1,115.0,1.36,13.825
K. Baldwin,G,,6.2,55.09,58.12,9.374,0,0,2.47,0.56,0.0,55.0,132.0,1.39,13.825
K. Mitoglou,F,,8.6,60.06,58.09,6.755,0,0,-0.9,-1.06,0.0,60.1,117.0,1.05,11.426
R. Smits,F,,7.3,57.71,57.75,7.911,0,0,1.06,-1.02,0.0,57.6,148.0,1.24,11.426
N. Melli,C,,9.2,58.13,57.58,6.259,0,0,-1.29,0.74,0.0,58.6,158.0,1.01,14.053
A. Smailagic,F,,9.4,95.5,56.23,5.982,0,1,10.17,-1.69,47.75,95.5,169.0,1.74,11.426
M. Santos,C,,6.5,54.35,55.76,8.578,0,0,0.71,0.69,0.0,54.1,111.0,1.21,14.053
J. Grant,G,,8.5,53.39,55.66,6.548,0,0,1.73,0.54,0.0,53.1,179.0,1.32,13.825
D. Lighty,F,,5.2,55.72,54.1,10.403,0,0,-0.64,-0.98,0.0,56.2,155.0,1.07,11.426
S. Ojeleye,F,,9.5,55.57,53.75,5.658,0,0,-0.84,-0.98,0.0,55.7,143.0,1.05,11.426
G. Ricci,F,,5.3,55.12,53.02,10.005,0,0,-1.12,-0.97,0.0,55.1,135.0,1.02,11.426
A. Dokossi,F,,6.8,57.6,52.37,7.701,0,0,-4.22,-1.02,0.0,57.3,117.0,0.72,11.426
E. Ulanovas,F,,7.7,52.88,50.96,6.619,1,0,-0.98,-0.93,0.0,52.4,189.0,1.03,11.426
Y. Ouattara,G,,5.7,45.77,50.62,8.88,0,0,4.39,0.46,0.0,45.7,157.0,1.68,13.825
J. Montero,G,,11.5,48.12,48.73,4.237,0,0,0.12,0.49,0.0,48.3,69.0,1.15,13.825
J. Parra,F,,6.5,50.14,47.71,7.339,0,0,-1.55,-0.89,0.0,50.2,117.0,0.96,11.426
J. Morgan,F,,7.4,50.62,47.63,6.436,0,0,-2.1,-0.89,0.0,50.7,122.0,0.9,11.426
D. Sleva,F,,7.8,48.12,47.05,6.032,0,0,-0.22,-0.85,0.0,47.8,133.0,1.11,11.426
S. Jovic,G,,7.1,48.0,46.66,6.572,0,0,-1.82,0.49,0.0,47.8,114.0,0.92,13.825
B. Massa,C,,6.2,47.98,46.18,7.448,0,0,-2.41,0.61,0.0,48.0,124.0,0.85,14.053
J. Jessup,F,,6.5,47.92,45.51,7.001,0,0,-1.57,-0.85,0.0,47.6,111.0,0.95,11.426
K. Diop,C,,5.8,47.97,45.41,7.83,0,0,-3.17,0.61,0.0,47.8,125.0,0.76,14.053
M. Faye,C,,7.3,45.94,44.95,6.157,0,0,-1.58,0.59,0.0,46.0,130.0,0.94,14.053
I. Wainright,F,,6.8,46.13,43.64,6.418,0,0,-1.67,-0.81,0.0,46.6,195.0,0.93,11.426
L. Vildoza,G,,8.4,42.38,43.44,5.172,0,0,0.63,0.43,0.0,41.4,129.0,1.22,13.825
Z. Leday,F,,14.9,45.82,42.39,2.845,0,0,-2.63,-0.81,0.0,45.5,72.0,0.81,11.426
N. Sako,C,,7.9,42.49,42.01,5.318,0,0,-1.01,0.54,0.0,42.3,116.0,1.0,14.053
T. Walkup,G,,9.1,43.46,41.72,4.584,0,0,-2.19,0.44,0.0,43.5,126.0,0.85,13.825
M. Jantunen,F,,7.8,43.39,41.66,5.341,0,0,-0.96,-0.77,0.0,43.4,151.0,1.01,11.426
J. Puerto,G,,5.9,43.27,41.53,7.039,0,0,-2.18,0.44,0.0,43.2,112.0,0.85,13.825
V. Marinkovic,F,,6.1,42.33,41.39,6.785,1,0,-0.19,-0.75,0.0,42.0,153.0,1.11,11.426
A. Traore,F,,8.6,44.04,41.13,4.782,0,0,-2.14,-0.78,0.0,44.4,115.0,0.86,11.426
B. Fernando,C,,7.2,43.55,41.07,5.705,1,0,-3.03,0.56,0.0,43.7,85.0,0.74,14.053
A. M'baye,F,,6.7,38.62,39.33,5.871,0,0,1.39,-0.68,0.0,38.2,147.0,1.34,11.426
K. Jones,C,,8.1,44.06,38.91,4.804,0,0,-5.71,0.56,0.0,44.2,73.0,0.4,14.053
D. Sirvydis,G,,6.6,38.99,38.87,5.889,0,0,-0.52,0.39,0.0,39.4,111.0,1.06,13.825
D. Hommes,F,,6.1,42.64,38.69,6.343,0,0,-3.2,-0.75,0.0,42.7,96.0,0.71,11.426
M. Diouf,C,,7.8,38.63,38.0,4.872,1,0,-1.13,0.49,0.0,38.3,111.0,0.97,14.053
N. Williams-goss,G,,9.3,64.18,36.86,3.964,0,1,4.12,0.65,32.09,64.3,112.0,1.5,13.825
A. Butkevicius,F,,6.9,79.96,36.66,5.313,0,1,-1.91,-1.41,39.98,80.2,166.0,1.0,11.426
J. Clark Iii,G,,7.2,34.45,35.8,4.972,0,0,1.0,0.35,0.0,34.3,129.0,1.3,13.825
B. Vautier,C,,5.7,34.56,34.73,6.093,0,0,-0.28,0.44,0.0,35.7,106.0,1.09,14.053
W. Gabriel,C,,8.9,33.91,33.83,3.801,0,0,-0.51,0.43,0.0,33.6,123.0,1.05,14.053
K. Prepelic,G,,6.6,34.56,33.35,5.054,0,0,-1.56,0.35,0.0,35.2,129.0,0.88,13.825
R. Holmes,C,,11.4,66.54,32.88,2.884,0,1,-1.24,0.85,33.27,66.4,103.0,1.03,14.053
E. Jackson,F,,4.0,34.37,32.57,8.144,0,0,-1.18,-0.61,0.0,34.4,84.0,0.94,11.426
N. Giffey,F,,5.0,33.84,31.6,6.32,0,0,-1.64,-0.6,0.0,33.2,100.0,0.86,11.426
M. Diakite,F,,8.2,34.27,31.09,3.792,0,0,-2.57,-0.61,0.0,34.5,103.0,0.71,11.426
D. Musa,F,,12.4,34.14,31.04,2.503,0,0,-2.5,-0.6,0.0,34.2,59.0,0.72,11.426
J. Nebo,C,,11.0,33.67,30.04,2.731,0,0,-4.07,0.43,0.0,33.7,51.0,0.45,14.053
K. Hayes,C,,6.5,31.57,29.77,4.581,0,0,-2.2,0.4,0.0,31.7,131.0,0.74,14.053
X. Rathan-mayes,G,,8.1,49.08,29.66,3.661,0,1,4.62,0.5,24.54,49.4,128.0,1.67,13.825
D. Alston Jr.,F,,7.8,31.59,29.61,3.796,1,0,-1.42,-0.56,0.0,31.6,125.0,0.88,11.426
K. Simmons,G,,9.6,31.27,29.13,3.034,0,0,-2.45,0.32,0.0,31.3,59.0,0.69,13.825
T. Carter,G,,8.3,28.89,28.54,3.439,0,0,-0.64,0.29,0.0,29.2,80.0,1.01,13.825
