Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.9,180.67,240.82,13.454,1
F. Petrusev,,15.0,179.7,228.1,15.207,1
C. Moneke,,16.8,179.31,226.65,13.491,0
T. Luwawu-cabarrot,,11.3,155.54,212.01,18.762,0
J. Nwora,,13.0,154.46,193.87,14.913,0
T. Shengelia,,16.5,157.19,193.42,11.722,1
W. Clyburn,,13.6,131.94,159.55,11.732,0
T. Lyles,,13.6,132.04,158.96,11.688,0
H. Diallo,,11.6,119.6,150.76,12.996,1
C. Osman,,13.0,122.46,147.87,11.374,0
I. Mike,,9.7,122.45,146.77,15.131,0
A. Diallo,,11.6,122.34,145.13,12.511,0
N. Mirotic,,14.2,122.4,140.65,9.905,0
S. Shields,,14.3,114.38,139.32,9.743,1
J. Hoard,,14.0,114.05,132.27,9.448,0
E. Osmani,,8.3,109.92,131.75,15.874,0
I. Bonga,,10.1,119.2,129.18,12.79,0
J. Hernangomez,,13.5,115.39,127.3,9.43,1
D. Bacon,,12.2,95.0,122.26,10.021,0
O. Brissett,,11.9,97.04,108.94,9.154,1
R. Sorkin,,10.6,95.32,108.7,10.254,0
A. Smailagic,,9.3,95.9,105.46,11.34,1
T. Leaf,,11.8,96.25,100.05,8.479,0
C. Malcolm,,9.0,97.07,98.85,10.983,1
M. Hezonja,,12.3,79.1,98.02,7.969,0
K. Taylor,,10.0,90.7,97.81,9.781,1
T. Ward,,9.4,86.76,94.33,10.035,0
N. Reuvers,,7.8,87.16,90.46,11.597,0
S. Niang,,9.1,87.45,89.37,9.821,0
C. Okeke,,12.2,87.29,87.2,7.147,0
B. Colson,,9.3,79.34,82.9,8.914,0
N. Kalinic,,9.5,78.23,81.32,8.56,1
M. Costello,,9.8,77.55,80.62,8.227,0
A. Tubelis,,9.1,76.81,79.72,8.76,1
D. Willis,,8.0,76.98,79.48,9.935,0
O. Da Silva,,7.0,82.16,78.73,11.247,0
A. Butkevicius,,7.0,80.45,77.95,11.136,1
Z. Seljaas,,9.1,71.58,76.94,8.455,0
D. Bertans,,8.7,67.45,76.08,8.744,0
T. Sedekerskis,,10.3,70.39,73.8,7.165,1
V. Lucic,,8.9,71.24,73.43,8.251,1
K. Jallow,,8.9,71.18,71.86,8.074,0
D. Osetkowski,,8.7,69.87,70.66,8.122,1
G. Deck,,9.6,71.33,70.12,7.304,0
J. Parker,,10.8,60.52,66.66,6.172,0
J. Blossomgame,,8.5,63.0,63.27,7.443,1
K. Mitoglou,,7.9,60.22,58.87,7.453,1
R. Smits,,6.8,56.72,57.36,8.435,0
D. Lighty,,5.3,55.59,54.55,10.292,0
S. Ojeleye,,9.3,55.51,54.28,5.836,0
G. Ricci,,5.3,55.18,53.65,10.123,1
A. Dokossi,,7.2,56.67,52.11,7.237,0
E. Ulanovas,,7.6,53.22,51.85,6.822,0
J. Morgan,,7.4,50.19,47.74,6.451,0
J. Parra,,6.3,49.45,47.56,7.55,0
D. Sleva,,8.0,47.89,47.33,5.917,0
J. Jessup,,6.6,47.66,45.75,6.932,0
I. Wainright,,7.6,46.38,44.36,5.837,0
Z. Leday,,15.0,45.76,42.8,2.853,0
M. Jantunen,,7.5,43.26,41.99,5.599,1
A. Traore,,8.0,44.11,41.64,5.206,0
A. M'baye,,7.2,38.43,39.54,5.492,0
D. Hommes,,6.4,42.65,39.14,6.115,0
D. Davidovac,,4.9,38.92,35.1,7.163,0
E. Jackson,,4.3,34.35,32.92,7.655,0
N. Giffey,,5.2,33.72,31.84,6.123,0
M. Diakite,,8.3,34.21,31.39,3.782,0
D. Musa,,12.7,33.87,31.14,2.452,0
D. Alston Jr.,,7.7,32.15,30.47,3.957,1
C. Frisch,,6.8,31.57,28.3,4.162,0
U. Garuba,,7.0,31.11,28.22,4.032,0
A. Peters,,8.0,25.54,24.24,3.031,0
A. Abalde,,5.3,25.62,23.42,4.419,1
M. Cale,,6.1,25.59,23.35,3.828,0
T. Ginat,,7.2,24.53,22.38,3.109,0
L. Cavaliere,,4.7,24.84,21.61,4.597,0
V. Marinkovic,,6.4,42.12,20.57,3.214,0
N. Rogkavopoulos,,6.8,23.18,20.54,3.02,0
M. Norris,,8.8,20.55,17.81,2.024,0
R. Kurucs,,5.9,19.4,17.18,2.913,0
C. Swider,,8.6,19.26,16.93,1.968,0
K. Papanikolaou,,6.3,18.95,16.72,2.655,0
M. Birsen,,4.0,19.17,16.43,4.109,0
T. Biberovic,,6.2,15.08,15.38,2.481,1
M. Ajinca,,4.2,14.35,14.66,3.491,0
I. Brazdeikis,,6.7,15.03,13.18,1.968,0
N. Sestina,,4.7,13.58,12.13,2.581,0
A. Samodurov,,4.0,14.2,11.57,2.894,0
O. Dobric,,4.8,9.99,8.66,1.804,0
O. Bitim,,5.1,9.85,8.51,1.669,0
J. Anderson,,6.3,19.42,7.39,1.173,0
O. Diop,,4.3,6.52,5.23,1.217,0
S. Harrison,,6.1,14.06,4.98,0.816,0
E. Yilmaz,,4.0,5.66,4.61,1.151,0
P. Kalaitzakis,,4.0,10.12,3.26,0.815,0
G. Procida,,6.5,3.28,2.63,0.405,0
S. Joksimovic,,4.0,3.19,2.6,0.651,0
M. Muurinen,,5.6,1.16,0.93,0.165,0
G. Lavi,,5.8,1.02,0.81,0.14,0
U. Trifunovic,,6.1,1.0,0.8,0.132,0
N. Dangubic,,4.0,0.12,0.1,0.024,0
W. Rayman,,4.3,0.07,0.06,0.013,0
G. Grinvalds,,4.0,0.02,0.02,0.005,0
V. Hrabar,,4.0,0.02,0.02,0.005,0
N. Akele,,4.1,-0.53,0.0,0.0,0
I. Almansa,,5.5,-2.34,0.0,0.0,0
A. Abass,,5.2,-3.61,0.0,0.0,0
A. Pokusevski,,4.8,-4.99,0.0,0.0,0
