Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
M. Wright,C,,12.4,149.12371722582975,176.28182005766197,0
M. Ndiaye,C,,7.5,87.10559642857145,91.73101641581667,0
T. Luwawu-cabarrot,F,,11.3,155.02392325036075,210.75352002861496,0
I. Mike,F,,9.5,122.34147889610392,146.21356077971805,0
E. Osmani,F,,8.3,109.98254960317469,131.44307512228588,0
N. Hifi,G,,13.6,173.56512808441562,264.12734755889323,0
W. Baldwin Iv,G,,11.9,137.09998531746038,184.88977282911276,1
T. Dorsey,G,,10.4,132.49277433261196,177.73995285275208,0
A. Obst,G,,8.8,121.90811130952385,146.95056365443625,0
S. Herrera,G,,5.6,69.4316476190477,76.69987093434894,0
