Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
D. Oturu,C,,11.6,135.65790839854589,159.3911624198858,0
L. Birutis,C,,6.3,67.37779186507935,67.89170779390963,1
T. Luwawu-cabarrot,F,,12.0,154.06419520202016,209.06761277634206,0
I. Mike,F,,9.4,122.6490422619048,146.3469083707451,0
E. Osmani,F,,9.0,110.1786557539683,131.4670326051631,0
N. Hifi,G,,14.0,175.92848053751814,267.67625886400333,0
W. Baldwin Iv,G,,12.0,135.65409814213564,182.98386167605278,0
T. Dorsey,G,,11.5,132.53683345959598,177.84524262330143,0
A. Obst,G,,8.2,121.9630631313131,147.11628840861252,0
S. Herrera,G,,5.7,69.29883820346326,76.63365415768861,0
