Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,11.5,179.25420042683086,Active
N. Hifi,G,,13.3,267.0699613989284,CAPTAIN
I. Mike,F,,8.8,145.84494984817675,Active
F. Petrusev,F,,15.8,257.13079630401535,Active
H. Diallo,F,,10.6,167.7699210482149,Active
D. Motiejunas,C,,7.8,87.08806543719294,Active
A. Obst,G,,7.8,147.84644442003523,Substitute
S. Herrera,G,,5.2,88.53259922165927,Substitute
T. Luwawu-cabarrot,F,,11.9,208.18044398703572,Substitute
M. Ndiaye,C,,7.2,90.7118544140123,Substitute
