Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.8,181.02,206.26,13.055,1
M. Wright,,12.9,150.27,177.04,13.724,0
D. Theis,,14.0,146.89,167.11,11.937,0
T. Jones,,15.1,135.95,160.65,10.639,0
D. Oturu,,11.6,135.58,159.5,13.75,0
W. Tavares,,14.0,119.22,130.39,9.313,1
D. Booker,,12.5,114.06,128.76,10.301,0
M. Kabengele,,13.2,146.83,104.49,7.916,1
D. Hall,,12.5,101.67,101.7,8.136,0
M. Ndiaye,,7.9,87.01,91.33,11.56,0
J. Vesely,,10.5,77.09,86.08,8.198,0
D. Motiejunas,,8.0,74.24,76.87,9.609,1
J. Motley,,11.9,68.07,72.16,6.064,1
J. Pradilla,,9.4,67.23,69.73,7.418,1
E. Izundu,,8.7,67.14,69.29,7.965,0
L. Birutis,,6.4,67.37,67.99,10.623,0
W. Hernangomez,,10.3,63.04,65.94,6.402,0
O. Yurtseven,,9.6,104.07,60.31,6.282,0
N. Melli,,8.7,58.23,58.04,6.672,0
M. Santos,,6.1,54.31,56.04,9.187,0
B. Massa,,6.7,47.9,46.4,6.925,0
K. Diop,,5.7,47.87,45.61,8.001,0
M. Faye,,6.9,45.84,45.13,6.54,0
N. Sako,,8.4,42.45,42.24,5.028,0
B. Fernando,,7.4,43.37,41.17,5.563,0
K. Jones,,8.6,43.97,39.11,4.547,0
M. Diouf,,7.2,38.24,37.84,5.256,1
B. Vautier,,5.4,35.1,35.48,6.571,0
W. Gabriel,,9.5,34.09,34.22,3.602,0
R. Holmes,,11.6,66.7,33.37,2.877,0
J. Nebo,,11.2,33.77,30.33,2.708,0
K. Hayes,,6.4,31.67,30.06,4.697,0
B. Dunston,,5.3,28.12,24.42,4.607,0
A. Bacot Jr.,,9.4,24.71,23.15,2.463,0
A. Diarra,,8.1,22.84,20.03,2.473,0
K. Birch,,5.7,15.02,13.46,2.362,0
I. Bako,,6.5,13.63,12.05,1.854,0
G. Papagiannis,,7.2,28.07,10.58,1.47,0
J. Voigtmann,,8.7,26.26,9.62,1.106,1
D. Mccormack,,7.3,10.32,9.27,1.27,0
Y. Fall,,6.3,6.95,5.83,0.925,0
T. Odiase,,6.9,6.65,5.61,0.813,0
K. Kamenjas,,7.0,6.48,5.45,0.779,0
E. Shahrvin,,4.0,5.43,4.54,1.136,0
K. Antetokounmpo,,4.3,4.3,3.61,0.839,0
U. Plavsic,,5.8,3.31,2.75,0.475,0
S. Sanli,,4.5,3.23,2.68,0.595,0
S. Keita,,4.0,2.28,1.93,0.482,0
B. Dessert,,6.5,2.1,1.75,0.269,0
C. Omoruyi,,8.2,2.08,1.7,0.208,0
I. Kouzeloglou,,4.0,-0.05,0.0,0.0,0
L. Kratzer,,4.0,-4.93,0.0,0.0,0
J. Rivero,,8.7,-0.51,0.0,0.0,0
