Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.9,182.07,241.34,13.483,1
F. Petrusev,,15.2,180.96,228.39,15.026,1
C. Moneke,,16.7,181.68,228.35,13.673,0
T. Luwawu-cabarrot,,11.6,154.2,209.01,18.018,0
T. Shengelia,,16.5,155.06,189.7,11.497,1
J. Nwora,,12.9,151.59,189.19,14.666,0
W. Clyburn,,13.5,132.1,158.82,11.764,0
T. Lyles,,14.0,132.33,158.4,11.314,0
H. Diallo,,11.6,119.22,149.42,12.881,1
C. Osman,,12.4,122.73,147.34,11.882,0
I. Mike,,9.2,122.62,146.12,15.883,0
A. Diallo,,11.7,122.66,144.66,12.364,0
N. Mirotic,,14.3,122.97,140.47,9.823,0
J. Hoard,,14.0,114.03,131.46,9.39,0
E. Osmani,,8.9,110.07,131.17,14.738,0
I. Bonga,,10.1,119.1,128.29,12.702,0
J. Hernangomez,,13.6,115.29,126.42,9.296,1
D. Bacon,,12.2,94.69,121.18,9.933,0
O. Brissett,,11.3,96.81,108.04,9.561,1
R. Sorkin,,11.2,95.11,107.82,9.626,0
A. Smailagic,,9.8,95.6,104.49,10.663,1
T. Leaf,,11.6,96.23,99.42,8.571,0
C. Malcolm,,9.1,96.95,98.12,10.782,1
M. Hezonja,,11.9,79.54,98.01,8.236,0
K. Taylor,,9.9,90.89,97.42,9.84,1
T. Ward,,9.2,86.63,93.62,10.176,0
N. Reuvers,,8.0,87.19,89.93,11.241,0
S. Niang,,8.9,87.39,88.75,9.972,0
C. Okeke,,11.7,87.43,86.78,7.417,0
B. Colson,,9.6,79.44,82.49,8.593,0
S. Shields,,14.2,114.29,81.27,5.723,1
N. Kalinic,,9.5,78.22,80.81,8.507,1
M. Costello,,9.6,77.48,80.05,8.338,0
A. Tubelis,,8.9,76.94,79.35,8.916,1
D. Willis,,8.0,77.02,79.03,9.878,0
O. Da Silva,,7.7,82.14,78.2,10.156,0
A. Butkevicius,,6.7,80.13,77.14,11.514,1
Z. Seljaas,,9.1,71.57,76.47,8.403,0
D. Bertans,,8.5,67.5,75.68,8.903,0
T. Sedekerskis,,10.0,70.29,73.24,7.324,1
V. Lucic,,9.1,71.32,73.06,8.029,1
K. Jallow,,9.0,71.28,71.51,7.945,0
D. Osetkowski,,8.6,70.25,70.6,8.209,0
G. Deck,,9.5,71.52,69.86,7.354,0
J. Parker,,10.2,60.38,66.1,6.481,0
J. Blossomgame,,8.2,62.93,62.8,7.658,1
K. Mitoglou,,8.8,60.26,58.54,6.653,0
R. Smits,,7.0,57.53,57.82,8.26,0
D. Lighty,,5.0,56.03,54.63,10.926,0
S. Ojeleye,,9.5,55.82,54.23,5.708,0
G. Ricci,,5.3,55.57,53.69,10.13,1
A. Dokossi,,7.1,57.23,52.28,7.363,0
E. Ulanovas,,7.7,53.32,51.61,6.703,1
J. Parra,,6.5,50.14,47.92,7.372,0
J. Morgan,,7.1,50.4,47.63,6.709,0
D. Sleva,,7.9,48.0,47.14,5.967,0
J. Jessup,,6.5,47.83,45.62,7.019,0
I. Wainright,,7.4,46.29,43.99,5.945,0
Z. Leday,,14.9,45.61,42.38,2.844,0
M. Jantunen,,7.5,43.33,41.79,5.572,0
A. Traore,,8.6,44.07,41.34,4.806,0
A. M'baye,,7.1,38.39,39.26,5.53,0
D. Hommes,,6.1,42.6,38.84,6.367,1
D. Davidovac,,4.9,38.85,34.8,7.102,0
E. Jackson,,4.2,34.36,32.72,7.789,0
N. Giffey,,5.0,33.8,31.71,6.342,0
M. Diakite,,8.5,34.35,31.31,3.684,0
D. Musa,,12.6,34.11,31.15,2.472,0
D. Alston Jr.,,7.6,31.68,29.83,3.925,0
U. Garuba,,6.9,31.29,28.2,4.086,0
C. Frisch,,6.5,31.48,28.03,4.312,0
A. Peters,,7.8,25.52,24.08,3.087,0
A. Abalde,,5.1,25.6,23.24,4.558,0
M. Cale,,5.8,25.54,23.15,3.992,0
T. Ginat,,7.1,24.76,22.45,3.161,0
L. Cavaliere,,4.6,24.98,21.58,4.692,0
V. Marinkovic,,6.3,42.24,20.36,3.232,0
N. Rogkavopoulos,,6.5,23.08,20.31,3.125,1
M. Norris,,8.4,20.6,17.73,2.11,0
R. Kurucs,,6.0,19.61,17.25,2.875,0
C. Swider,,8.3,19.49,17.01,2.05,0
K. Papanikolaou,,6.0,19.25,16.87,2.812,0
M. Birsen,,4.0,19.48,16.6,4.149,0
T. Biberovic,,6.1,15.0,15.21,2.493,1
M. Ajinca,,4.1,14.5,14.73,3.592,0
I. Brazdeikis,,6.2,14.87,12.96,2.09,1
N. Sestina,,4.5,13.58,12.05,2.677,0
A. Samodurov,,4.1,14.35,11.62,2.833,0
O. Dobric,,5.1,10.12,8.71,1.707,0
O. Bitim,,4.8,9.73,8.36,1.741,0
P. Kalaitzakis,,4.0,10.14,8.28,2.07,0
J. Anderson,,6.2,19.59,7.34,1.184,0
O. Diop,,4.2,6.5,5.19,1.235,0
S. Harrison,,6.0,14.08,4.9,0.817,0
E. Yilmaz,,4.0,5.6,4.52,1.13,0
S. Joksimovic,,4.0,3.23,2.62,0.656,0
G. Procida,,6.4,3.28,2.61,0.407,0
M. Muurinen,,5.5,1.16,0.92,0.167,0
G. Lavi,,5.7,1.11,0.88,0.154,0
W. Rayman,,4.4,0.03,0.03,0.006,0
N. Dangubic,,4.0,0.03,0.02,0.005,0
V. Hrabar,,4.0,-0.04,0.0,0.0,0
I. Almansa,,5.4,-3.02,0.0,0.0,0
N. Akele,,4.0,-0.56,0.0,0.0,0
G. Grinvalds,,4.0,-0.04,0.0,0.0,0
A. Abass,,5.1,-3.63,0.0,0.0,0
A. Pokusevski,,5.2,-4.95,0.0,0.0,1
