Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.5,182.07,240.47,13.741,1
F. Petrusev,,15.3,181.13,227.75,14.885,1
C. Moneke,,16.6,181.68,227.47,13.703,0
T. Luwawu-cabarrot,,12.0,154.22,208.3,17.358,0
T. Shengelia,,16.1,155.16,189.08,11.744,1
J. Nwora,,12.8,151.65,188.54,14.73,0
W. Clyburn,,13.5,132.13,158.22,11.72,0
T. Lyles,,13.6,132.3,157.72,11.597,0
H. Diallo,,11.2,119.58,149.3,13.33,1
C. Osman,,12.3,122.67,146.68,11.925,0
I. Mike,,9.4,122.64,145.56,15.485,0
A. Diallo,,11.6,122.6,143.99,12.413,0
N. Mirotic,,14.0,122.96,139.87,9.991,0
S. Shields,,14.1,114.35,137.93,9.783,1
J. Hoard,,14.4,114.08,130.98,9.096,0
E. Osmani,,9.0,110.11,130.69,14.521,0
I. Bonga,,10.0,119.12,127.75,12.775,0
J. Hernangomez,,13.4,115.29,125.87,9.394,1
D. Bacon,,11.9,94.69,120.73,10.145,0
O. Brissett,,11.1,96.84,107.6,9.694,1
R. Sorkin,,11.7,95.14,107.39,9.179,0
T. Leaf,,12.2,96.08,98.81,8.099,0
M. Hezonja,,11.6,79.52,97.6,8.414,0
C. Malcolm,,8.7,96.68,97.38,11.193,0
K. Taylor,,10.1,90.93,97.04,9.608,1
T. Ward,,9.2,86.63,93.21,10.132,0
N. Reuvers,,8.0,87.24,89.56,11.195,0
S. Niang,,8.9,87.39,88.33,9.925,0
C. Okeke,,11.6,87.37,86.31,7.44,0
B. Colson,,9.6,79.42,82.09,8.551,0
N. Kalinic,,9.9,78.22,80.44,8.125,1
M. Costello,,9.5,77.43,79.63,8.382,0
A. Tubelis,,9.5,76.91,78.95,8.311,1
D. Willis,,8.6,77.0,78.64,9.144,0
O. Da Silva,,7.6,82.12,77.8,10.237,1
A. Butkevicius,,7.2,80.04,76.67,10.648,0
Z. Seljaas,,9.7,71.55,76.1,7.846,0
D. Bertans,,8.2,67.48,75.34,9.188,0
T. Sedekerskis,,10.1,70.29,72.9,7.218,1
V. Lucic,,9.3,71.34,72.73,7.821,1
K. Jallow,,9.0,71.28,71.17,7.907,0
D. Osetkowski,,8.9,70.24,70.26,7.894,1
G. Deck,,9.2,71.53,69.53,7.558,0
J. Parker,,10.1,60.45,65.9,6.524,0
J. Blossomgame,,8.3,62.97,62.53,7.534,1
K. Mitoglou,,8.6,60.32,58.31,6.78,0
R. Smits,,7.4,57.57,57.58,7.782,0
A. Smailagic,,9.5,95.63,56.26,5.922,0
D. Lighty,,5.3,55.98,54.31,10.247,0
S. Ojeleye,,9.6,55.89,54.03,5.628,0
G. Ricci,,5.3,55.59,53.45,10.085,0
A. Dokossi,,6.9,57.26,52.03,7.54,0
E. Ulanovas,,7.6,53.35,51.38,6.761,1
J. Parra,,6.5,50.15,47.68,7.336,0
J. Morgan,,7.1,50.45,47.44,6.681,0
D. Sleva,,7.8,47.95,46.86,6.008,0
J. Jessup,,6.1,47.82,45.39,7.441,0
I. Wainright,,7.1,46.3,43.78,6.166,0
Z. Leday,,14.8,45.65,42.2,2.852,0
M. Jantunen,,7.3,43.3,41.56,5.693,0
A. Traore,,8.8,44.05,41.11,4.672,0
A. M'baye,,7.0,38.39,39.07,5.581,0
D. Hommes,,6.4,42.61,38.64,6.038,1
D. Davidovac,,4.6,38.77,34.55,7.51,0
E. Jackson,,4.1,34.25,32.44,7.913,0
N. Giffey,,5.1,33.68,31.43,6.163,0
M. Diakite,,8.3,34.43,31.22,3.762,0
D. Musa,,12.5,34.12,31.0,2.48,0
D. Alston Jr.,,7.3,31.73,29.72,4.072,1
U. Garuba,,6.6,31.3,28.06,4.251,0
C. Frisch,,6.3,31.42,27.83,4.418,0
A. Peters,,8.5,25.57,23.99,2.823,0
A. Abalde,,5.2,25.59,23.12,4.445,1
M. Cale,,5.7,25.53,23.02,4.038,0
T. Ginat,,7.0,24.75,22.32,3.188,0
L. Cavaliere,,4.5,24.94,21.43,4.763,0
N. Rogkavopoulos,,6.5,23.04,20.16,3.102,0
V. Marinkovic,,6.2,42.24,20.16,3.252,0
M. Norris,,8.3,20.55,17.59,2.119,0
R. Kurucs,,5.8,19.6,17.15,2.958,0
J. Anderson,,6.1,19.61,17.06,2.796,0
C. Swider,,7.9,19.51,16.94,2.144,0
K. Papanikolaou,,5.9,19.25,16.78,2.844,0
M. Birsen,,4.0,19.46,16.48,4.121,0
T. Biberovic,,5.8,14.99,15.12,2.607,1
M. Ajinca,,4.0,14.5,14.66,3.665,0
I. Brazdeikis,,5.8,14.88,12.9,2.223,0
N. Sestina,,4.4,13.6,11.99,2.726,0
S. Harrison,,6.4,14.08,11.87,1.855,1
A. Samodurov,,4.0,14.36,11.55,2.888,0
O. Dobric,,6.0,10.1,8.64,1.44,0
