Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,14.0,175.93,267.68,19.12,0,0,91.24,0.51,0.0,172.8,187.0,4.08,13.086000000000002
S. Vezenkov,F,,17.5,182.07,241.62,13.807,1,0,61.71,-2.16,0.0,196.9,225.0,3.06,11.821000000000002
F. Petrusev,F,,15.3,181.28,229.08,14.973,1,0,49.95,-2.15,0.0,185.2,210.0,2.7,11.821000000000002
C. Moneke,F,,16.6,181.68,228.63,13.773,0,0,49.1,-2.16,0.0,174.9,202.0,2.67,11.821000000000002
S. Francisco,G,,15.8,161.23,216.35,13.693,1,0,54.65,0.47,0.0,164.1,203.0,3.06,13.086000000000002
M. James,G,,16.5,151.55,211.63,12.826,0,0,59.64,0.44,0.0,150.6,238.0,3.37,13.086000000000002
K. Nunn,G,,15.0,146.94,210.37,14.025,0,0,63.0,0.43,0.0,144.8,241.0,3.57,13.086000000000002
T. Luwawu-cabarrot,F,,12.0,154.06,209.07,17.422,0,0,56.83,-1.83,0.0,154.3,227.0,3.23,11.821000000000002
N. Milutinov,C,,15.9,181.16,206.15,12.965,1,0,21.84,3.15,0.0,184.1,179.0,1.82,14.3275
T. Shengelia,F,,16.1,155.09,189.98,11.8,1,0,36.73,-1.84,0.0,155.2,203.0,2.48,11.821000000000002
J. Nwora,F,,12.8,151.48,189.29,14.788,0,0,39.61,-1.8,0.0,151.4,182.0,2.62,11.821000000000002
W. Baldwin Iv,G,,12.0,135.65,182.98,15.249,0,0,46.94,0.39,0.0,137.6,196.0,3.1,13.086000000000002
T. Dorsey,G,,11.5,132.54,177.85,15.465,0,0,44.92,0.38,0.0,132.7,220.0,3.06,13.086000000000002
M. Kabengele,C,,13.8,146.89,177.76,12.881,1,0,28.32,2.56,0.0,147.0,166.0,2.23,14.3275
M. Wright,C,,12.7,150.01,176.52,13.899,0,0,23.9,2.61,0.0,149.3,169.0,2.04,14.3275
S. Larkin,G,,14.0,123.22,168.38,12.027,0,0,44.8,0.36,0.0,124.2,263.0,3.2,13.086000000000002
O. Moore,G,,11.3,132.63,167.7,14.84,0,0,34.68,0.38,0.0,132.4,182.0,2.62,13.086000000000002
D. Theis,C,,13.5,146.89,166.89,12.363,0,0,17.45,2.56,0.0,144.9,181.0,1.81,14.3275
C. Miller-mcintyre,G,,12.4,123.07,166.67,13.441,1,0,43.23,0.36,0.0,123.4,243.0,3.13,13.086000000000002
T. Jones,C,,15.0,135.85,160.34,10.689,0,0,22.12,2.37,0.0,138.6,202.0,2.06,14.3275
D. Oturu,C,,11.6,135.66,159.39,13.741,0,0,21.37,2.36,0.0,137.0,191.0,2.03,14.3275
W. Clyburn,F,,13.5,132.13,159.06,11.782,0,0,28.5,-1.57,0.0,130.5,202.0,2.36,11.821000000000002
E. Bryant,G,,16.0,132.32,158.91,9.932,0,0,26.21,0.38,0.0,131.4,224.0,2.26,13.086000000000002
V. Micic,G,,14.7,121.85,158.78,10.801,1,0,36.58,0.35,0.0,121.2,201.0,2.84,13.086000000000002
T. Lyles,F,,13.6,132.25,158.5,11.654,0,0,27.82,-1.57,0.0,130.3,165.0,2.33,11.821000000000002
D. Thompson,G,,11.8,122.98,149.85,12.7,1,0,26.52,0.36,0.0,124.0,166.0,2.36,13.086000000000002
H. Diallo,F,,11.2,119.24,149.62,13.359,1,0,31.8,-1.42,0.0,119.5,181.0,2.65,11.821000000000002
C. Osman,F,,12.3,122.77,147.57,11.997,0,0,26.26,-1.46,0.0,122.8,213.0,2.35,11.821000000000002
A. Obst,G,,8.2,121.96,147.12,17.941,0,0,24.8,0.35,0.0,121.8,191.0,2.29,13.086000000000002
I. Mike,F,,9.4,122.65,146.35,15.569,0,0,25.15,-1.46,0.0,122.7,193.0,2.3,11.821000000000002
A. Diallo,F,,11.6,122.66,144.85,12.487,0,0,23.64,-1.46,0.0,122.6,237.0,2.23,11.821000000000002
N. De Colo,G,,12.7,119.08,142.17,11.194,0,0,22.74,0.35,0.0,118.5,136.0,2.22,13.086000000000002
N. Mirotic,F,,14.0,123.06,140.76,10.055,0,0,19.17,-1.46,0.0,123.5,160.0,2.02,11.821000000000002
C. Edwards,G,,12.6,96.94,134.69,10.69,1,0,37.47,0.28,0.0,96.9,195.0,3.33,13.086000000000002
A. Blakeney,G,,10.0,109.64,133.99,13.399,0,0,24.03,0.32,0.0,108.9,164.0,2.38,13.086000000000002
J. Hoard,F,,14.4,114.03,131.64,9.142,0,0,18.97,-1.35,0.0,113.6,222.0,2.08,11.821000000000002
E. Osmani,F,,9.0,110.18,131.47,14.607,0,0,22.6,-1.31,0.0,110.1,197.0,2.3,11.821000000000002
S. Brown,G,,10.8,103.94,130.68,12.1,1,0,26.44,0.3,0.0,105.3,234.0,2.58,13.086000000000002
W. Tavares,C,,14.6,119.21,130.2,8.918,1,0,8.91,2.08,0.0,119.6,175.0,1.56,14.3275
J. Robinson,G,,11.8,104.01,130.04,11.02,0,0,25.73,0.3,0.0,104.2,127.0,2.54,13.086000000000002
L. Walker Iv,G,,12.8,99.46,129.26,10.099,1,0,29.51,0.29,0.0,99.2,192.0,2.82,13.086000000000002
D. Booker,C,,12.3,114.15,128.7,10.463,0,0,12.56,1.99,0.0,114.5,194.0,1.76,14.3275
I. Bonga,F,,10.0,119.04,128.41,12.841,0,0,10.79,-1.41,0.0,119.1,217.0,1.65,11.821000000000002
J. Hernangomez,F,,13.4,115.31,126.62,9.449,1,0,12.68,-1.37,0.0,116.4,210.0,1.76,11.821000000000002
D. Bacon,F,,11.9,94.67,121.3,10.193,0,0,27.75,-1.12,0.0,93.7,240.0,2.8,11.821000000000002
D. Hall,G,,9.6,103.79,119.89,12.488,0,0,15.8,0.3,0.0,104.2,204.0,2.0,13.086000000000002
N. Weiler-babb,G,,11.6,108.38,118.32,10.2,1,0,9.63,0.31,0.0,108.8,218.0,1.64,13.086000000000002
K. Punter,G,,12.3,96.74,116.53,9.474,0,0,19.5,0.28,0.0,96.7,198.0,2.28,13.086000000000002
G. Watson,G,,11.0,94.37,115.0,10.454,0,0,20.35,0.27,0.0,93.2,189.0,2.36,13.086000000000002
I. Cordinier,G,,10.5,96.12,112.04,10.671,1,0,15.65,0.28,0.0,95.9,231.0,2.06,13.086000000000002
O. Brissett,F,,11.1,96.87,108.25,9.752,1,0,12.53,-1.15,0.0,97.3,216.0,1.87,11.821000000000002
R. Sorkin,F,,11.7,95.12,107.97,9.228,0,0,13.98,-1.13,0.0,95.0,156.0,1.97,11.821000000000002
A. Smailagic,F,,9.5,95.68,104.73,11.025,1,0,10.19,-1.14,0.0,95.5,169.0,1.74,11.821000000000002
T. Satoransky,G,,10.9,95.93,104.73,9.608,1,0,8.52,0.28,0.0,95.7,186.0,1.64,13.086000000000002
D. Hall,C,,12.0,101.75,101.63,8.469,0,0,-1.89,1.77,0.0,100.9,125.0,1.03,14.3275
L. Bolmaro,G,,9.8,88.26,100.72,10.277,1,0,12.2,0.26,0.0,87.9,185.0,1.92,13.086000000000002
T. Leaf,F,,12.2,96.21,99.55,8.16,0,0,4.48,-1.14,0.0,96.1,139.0,1.4,11.821000000000002
