Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.9,181.08,206.06,12.96,1
M. Kabengele,,13.8,147.04,177.94,12.894,1
M. Wright,,12.7,149.64,176.09,13.865,0
D. Theis,,13.5,146.32,166.25,12.315,0
T. Jones,,15.0,137.92,162.77,10.852,0
D. Oturu,,11.6,137.15,161.14,13.892,0
W. Tavares,,14.6,119.78,130.82,8.961,1
D. Booker,,12.3,113.86,128.36,10.436,0
D. Hall,,12.0,101.27,101.15,8.429,0
M. Ndiaye,,7.7,87.18,91.38,11.867,0
J. Vesely,,10.7,76.84,85.68,8.007,0
D. Motiejunas,,7.6,74.02,76.54,10.071,1
J. Motley,,11.8,68.09,72.09,6.109,1
J. Pradilla,,8.9,66.73,69.12,7.766,1
E. Izundu,,8.6,66.72,68.76,7.995,0
L. Birutis,,6.3,66.99,67.5,10.715,1
W. Hernangomez,,10.2,63.08,65.9,6.461,0
O. Yurtseven,,9.5,104.42,60.36,6.354,0
N. Melli,,8.9,58.14,57.87,6.502,0
M. Santos,,6.0,54.34,56.0,9.333,0
B. Massa,,6.4,48.0,46.42,7.253,0
K. Diop,,5.6,47.96,45.63,8.147,0
M. Faye,,7.1,45.97,45.19,6.364,0
N. Sako,,8.3,42.49,42.21,5.086,0
B. Fernando,,7.2,43.55,41.28,5.733,0
K. Jones,,8.5,44.06,39.12,4.602,0
M. Diouf,,7.4,38.71,38.26,5.17,1
B. Vautier,,5.7,34.53,34.85,6.115,0
R. Holmes,,11.5,66.54,33.19,2.886,0
J. Nebo,,11.1,33.69,30.21,2.722,0
K. Hayes,,6.3,31.56,29.91,4.747,0
B. Dunston,,5.7,27.97,24.24,4.252,1
A. Bacot Jr.,,9.1,24.64,23.05,2.533,0
J. Voigtmann,,8.6,26.32,22.77,2.647,0
A. Diarra,,8.2,22.31,19.53,2.382,0
W. Gabriel,,9.4,33.87,17.02,1.81,0
K. Birch,,5.5,15.14,13.55,2.464,0
I. Bako,,6.4,13.98,12.34,1.928,0
G. Papagiannis,,7.1,27.9,10.48,1.476,0
D. Mccormack,,6.9,10.21,9.16,1.327,0
Y. Fall,,6.2,6.66,5.58,0.899,0
T. Odiase,,6.6,6.56,5.53,0.837,0
K. Kamenjas,,6.9,6.41,5.39,0.781,0
E. Shahrvin,,4.0,5.56,4.65,1.161,0
K. Antetokounmpo,,4.2,4.3,3.6,0.858,0
U. Plavsic,,5.9,3.25,2.69,0.457,0
S. Sanli,,4.4,3.18,2.64,0.599,0
S. Keita,,4.0,2.24,1.89,0.473,0
B. Dessert,,6.4,2.08,1.73,0.27,0
C. Omoruyi,,8.1,2.05,1.67,0.207,0
J. Rivero,,8.6,-0.87,0.0,0.0,0
L. Kratzer,,4.0,-4.61,0.0,0.0,0
I. Kouzeloglou,,4.0,-0.02,0.0,0.0,0
