Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,13.3,174.87,267.07,20.08,0,0,90.69,1.51,0.0,172.8,187.0,4.08,13.752500000000001
S. Vezenkov,F,,17.4,182.15,241.21,13.863,1,0,61.74,-2.67,0.0,196.9,225.0,3.06,11.730500000000001
F. Petrusev,F,,15.8,182.25,229.79,14.544,1,0,50.22,-2.68,0.0,185.2,210.0,2.7,11.730500000000001
S. Francisco,G,,17.3,166.95,224.98,13.004,1,0,56.59,1.44,0.0,164.1,203.0,3.06,13.752500000000001
C. Moneke,F,,16.3,177.63,223.03,13.683,0,0,48.01,-2.61,0.0,174.9,202.0,2.67,11.730500000000001
M. James,G,,16.3,151.49,212.43,13.032,0,0,59.62,1.31,0.0,150.6,238.0,3.37,13.752500000000001
K. Nunn,G,,16.5,146.64,210.79,12.775,0,0,62.88,1.27,0.0,144.8,241.0,3.57,13.752500000000001
T. Luwawu-cabarrot,F,,11.9,153.73,208.18,17.494,0,0,56.71,-2.26,0.0,154.3,227.0,3.23,11.730500000000001
N. Milutinov,C,,15.9,182.08,205.87,12.947,1,0,21.95,1.83,0.0,184.1,179.0,1.82,13.875499999999999
T. Shengelia,F,,15.3,155.1,189.56,12.389,1,0,36.73,-2.28,0.0,155.2,203.0,2.48,11.730500000000001
J. Nwora,F,,13.2,150.97,188.23,14.26,0,0,39.47,-2.22,0.0,151.4,182.0,2.62,11.730500000000001
W. Baldwin Iv,G,,12.7,136.19,184.49,14.527,0,0,47.12,1.18,0.0,137.6,196.0,3.1,13.752500000000001
T. Dorsey,G,,11.5,133.02,179.25,15.587,0,0,45.09,1.15,0.0,132.7,220.0,3.06,13.752500000000001
M. Kabengele,C,,13.8,145.7,175.25,12.699,1,0,28.09,1.47,0.0,147.0,166.0,2.23,13.875499999999999
M. Wright,C,,12.0,148.65,173.82,14.485,0,0,23.68,1.5,0.0,149.3,169.0,2.04,13.875499999999999
O. Moore,G,,11.4,132.92,168.83,14.809,0,0,34.75,1.15,0.0,132.4,182.0,2.62,13.752500000000001
S. Larkin,G,,13.8,122.65,168.3,12.196,0,0,44.6,1.06,0.0,124.2,263.0,3.2,13.752500000000001
C. Miller-mcintyre,G,,12.5,122.6,166.73,13.339,1,0,43.07,1.06,0.0,123.4,243.0,3.13,13.752500000000001
D. Theis,C,,13.5,145.85,164.65,12.196,0,0,17.33,1.47,0.0,144.9,181.0,1.81,13.875499999999999
E. Bryant,G,,16.2,133.72,161.36,9.96,0,0,26.48,1.16,0.0,131.4,224.0,2.26,13.752500000000001
T. Jones,C,,14.7,136.81,160.47,10.916,0,0,22.28,1.38,0.0,138.6,202.0,2.06,13.875499999999999
V. Micic,G,,14.5,121.83,159.46,10.997,1,0,36.57,1.05,0.0,121.2,201.0,2.84,13.752500000000001
W. Clyburn,F,,12.7,132.66,159.32,12.545,0,0,28.61,-1.95,0.0,130.5,202.0,2.36,11.730500000000001
D. Oturu,C,,12.0,136.39,159.25,13.271,0,0,21.49,1.37,0.0,137.0,191.0,2.03,13.875499999999999
T. Lyles,F,,13.6,132.74,158.71,11.67,0,0,27.93,-1.95,0.0,130.3,165.0,2.33,11.730500000000001
D. Thompson,G,,11.6,122.58,150.07,12.937,0,0,26.44,1.06,0.0,124.0,166.0,2.36,13.752500000000001
H. Diallo,F,,10.6,119.66,149.82,14.134,1,0,31.92,-1.76,0.0,119.5,181.0,2.65,11.730500000000001
A. Obst,G,,7.8,121.99,147.85,18.955,0,0,24.8,1.05,0.0,121.8,191.0,2.29,13.752500000000001
C. Osman,F,,12.0,122.64,147.07,12.256,0,0,26.23,-1.8,0.0,122.8,213.0,2.35,11.730500000000001
I. Mike,F,,8.8,122.52,145.84,16.573,0,0,25.13,-1.8,0.0,122.7,193.0,2.3,11.730500000000001
A. Diallo,F,,11.7,122.49,144.3,12.333,0,0,23.61,-1.8,0.0,122.6,237.0,2.23,11.730500000000001
N. De Colo,G,,13.4,119.28,143.09,10.678,0,0,22.78,1.03,0.0,118.5,136.0,2.22,13.752500000000001
N. Mirotic,F,,14.3,122.48,139.76,9.773,0,0,19.08,-1.8,0.0,123.5,160.0,2.02,11.730500000000001
S. Shields,F,,14.7,113.87,137.76,9.371,1,0,25.56,-1.67,0.0,114.6,214.0,2.41,11.730500000000001
C. Edwards,G,,12.3,96.88,135.16,10.989,1,0,37.45,0.84,0.0,96.9,195.0,3.33,13.752500000000001
A. Blakeney,G,,10.4,108.85,133.65,12.85,0,0,23.86,0.94,0.0,108.9,164.0,2.38,13.752500000000001
S. Brown,G,,11.3,105.14,132.8,11.752,1,0,26.75,0.91,0.0,105.3,234.0,2.58,13.752500000000001
J. Robinson,G,,12.9,104.82,131.65,10.205,0,0,25.93,0.91,0.0,104.2,127.0,2.54,13.752500000000001
J. Hoard,F,,14.2,113.51,130.73,9.206,0,0,18.88,-1.67,0.0,113.6,222.0,2.08,11.730500000000001
E. Osmani,F,,9.4,109.34,130.15,13.846,0,0,22.42,-1.61,0.0,110.1,197.0,2.3,11.730500000000001
L. Walker Iv,G,,13.0,99.42,129.77,9.983,1,0,29.5,0.86,0.0,99.2,192.0,2.82,13.752500000000001
W. Tavares,C,,14.8,119.46,129.59,8.756,1,0,8.93,1.2,0.0,119.6,175.0,1.56,13.875499999999999
I. Bonga,F,,10.1,119.49,128.56,12.729,0,0,10.83,-1.75,0.0,119.1,217.0,1.65,11.730500000000001
D. Booker,C,,11.9,113.73,127.39,10.705,0,0,12.51,1.14,0.0,114.5,194.0,1.76,13.875499999999999
J. Hernangomez,F,,13.5,114.4,125.3,9.282,1,0,12.58,-1.68,0.0,116.4,210.0,1.76,11.730500000000001
D. Hall,G,,9.5,104.79,121.65,12.805,0,0,15.95,0.91,0.0,104.2,204.0,2.0,13.752500000000001
D. Bacon,F,,11.7,94.17,120.39,10.29,0,0,27.61,-1.38,0.0,93.7,240.0,2.8,11.730500000000001
N. Weiler-babb,G,,11.0,108.8,119.41,10.855,1,0,9.67,0.94,0.0,108.8,218.0,1.64,13.752500000000001
K. Punter,G,,12.7,96.64,116.95,9.209,0,0,19.48,0.84,0.0,96.7,198.0,2.28,13.752500000000001
G. Watson,G,,10.4,93.94,115.01,11.059,0,0,20.26,0.81,0.0,93.2,189.0,2.36,13.752500000000001
I. Cordinier,G,,11.0,96.1,112.58,10.235,1,0,15.65,0.83,0.0,95.9,231.0,2.06,13.752500000000001
O. Yurtseven,C,,9.3,104.87,112.29,12.074,0,0,6.36,1.06,0.0,104.2,136.0,1.48,13.875499999999999
O. Brissett,F,,10.7,97.23,108.38,10.129,1,0,12.58,-1.43,0.0,97.3,216.0,1.87,11.730500000000001
R. Sorkin,F,,11.8,95.34,107.95,9.149,0,0,14.01,-1.4,0.0,95.0,156.0,1.97,11.730500000000001
T. Satoransky,G,,10.6,95.69,105.02,9.907,1,0,8.5,0.83,0.0,95.7,186.0,1.64,13.752500000000001
L. Bolmaro,G,,10.4,87.91,100.81,9.694,1,0,12.15,0.76,0.0,87.9,185.0,1.92,13.752500000000001
D. Hall,C,,11.8,101.49,100.62,8.527,0,0,-1.89,1.02,0.0,100.9,125.0,1.03,13.875499999999999
T. Leaf,F,,12.0,95.87,98.93,8.244,0,0,4.47,-1.41,0.0,96.1,139.0,1.4,11.730500000000001
C. Malcolm,F,,8.2,97.2,98.24,11.981,0,0,2.47,-1.43,0.0,97.3,198.0,1.28,11.730500000000001
K. Sloukas,G,,12.8,87.04,98.14,7.667,0,0,10.34,0.75,0.0,87.0,153.0,1.81,13.752500000000001
M. Hezonja,F,,11.5,79.45,97.8,8.504,0,0,19.51,-1.17,0.0,79.2,168.0,2.53,11.730500000000001
K. Taylor,F,,10.4,90.86,97.28,9.354,1,0,7.75,-1.33,0.0,90.9,166.0,1.62,11.730500000000001
M. Wright Iv,G,,11.5,83.03,96.98,8.433,1,0,13.23,0.72,0.0,83.6,248.0,2.04,13.752500000000001
T. Blatt,G,,7.6,81.2,94.7,12.46,0,0,12.79,0.7,0.0,81.8,172.0,2.03,13.752500000000001
E. Okobo,G,,11.4,77.97,94.5,8.289,0,0,15.85,0.67,0.0,78.0,198.0,2.29,13.752500000000001
T. Ward,F,,9.0,86.48,93.36,10.373,0,0,8.14,-1.27,0.0,85.7,168.0,1.67,11.730500000000001
J. Loyd,G,,8.7,79.38,91.03,10.463,0,0,10.97,0.69,0.0,79.2,176.0,1.92,13.752500000000001
M. Ndiaye,C,,7.2,87.16,90.71,12.599,0,0,2.68,0.88,0.0,87.0,183.0,1.31,13.875499999999999
N. Reuvers,F,,7.8,87.2,89.82,11.516,0,0,3.91,-1.28,0.0,87.1,159.0,1.39,11.730500000000001
M. Guduric,G,,9.9,80.71,89.29,9.019,0,0,7.88,0.7,0.0,81.1,159.0,1.69,13.752500000000001
S. Niang,F,,8.5,87.45,88.7,10.436,0,0,2.53,-1.28,0.0,87.4,157.0,1.3,11.730500000000001
C. Okeke,F,,10.8,87.21,86.46,8.006,0,0,0.53,-1.28,0.0,87.1,127.0,1.17,11.730500000000001
J. Vesely,C,,10.8,76.87,85.15,7.885,0,0,7.51,0.77,0.0,76.9,143.0,1.69,13.875499999999999
A. Brooks,G,,8.8,77.27,84.94,9.652,0,0,7.0,0.67,0.0,77.3,136.0,1.65,13.752500000000001
M. Lo,G,,8.3,75.03,83.53,10.064,0,0,7.86,0.65,0.0,74.7,149.0,1.73,13.752500000000001
B. Colson,F,,10.1,79.41,82.36,8.155,0,0,4.12,-1.17,0.0,79.5,134.0,1.43,11.730500000000001
A. Pajola,G,,7.4,77.63,81.09,10.958,0,0,2.8,0.67,0.0,77.8,154.0,1.34,13.752500000000001
N. Kalinic,F,,9.7,78.31,80.81,8.331,0,0,3.65,-1.15,0.0,78.5,205.0,1.4,11.730500000000001
F. Campazzo,G,,13.2,72.06,80.73,6.116,1,0,8.05,0.62,0.0,72.4,183.0,1.77,13.752500000000001
T. Horton Tucker,G,,9.9,70.22,80.16,8.097,0,0,9.33,0.61,0.0,70.1,136.0,1.89,13.752500000000001
M. Costello,F,,9.6,77.51,79.98,8.331,0,0,3.61,-1.14,0.0,77.5,161.0,1.4,11.730500000000001
T. Maledon,G,,13.6,74.67,79.85,5.871,0,0,4.53,0.65,0.0,74.5,95.0,1.48,13.752500000000001
A. Tubelis,F,,10.0,76.73,79.05,7.905,1,0,3.44,-1.13,0.0,76.6,147.0,1.39,11.730500000000001
O. Da Silva,F,,7.2,83.13,79.05,10.978,0,0,-2.86,-1.22,0.0,83.3,100.0,0.94,11.730500000000001
