Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
D. Oturu,C,,11.6,137.14851098484837,161.14254486224834,0
L. Birutis,C,,6.3,66.99334345238096,67.50432704760946,1
T. Luwawu-cabarrot,F,,12.0,153.51700728715718,208.32506989705425,0
I. Mike,F,,9.4,122.71637276334788,146.42724826206037,0
E. Osmani,F,,9.0,110.1191753968254,131.3960596385902,0
N. Hifi,G,,14.0,172.6263988095238,262.6521213240658,0
W. Baldwin Iv,G,,12.0,136.97872765151504,184.77065489672154,0
T. Dorsey,G,,11.5,132.26498526334774,177.48046170047053,0
A. Obst,G,,8.2,121.3331418109669,146.35645437149086,0
S. Herrera,G,,5.7,69.85071762265514,77.24394630173472,0
