Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,10.2,177.38901598121964,Active
N. Hifi,G,,13.8,264.76093065027294,CAPTAIN
T. Luwawu-cabarrot,F,,11.3,212.00767222897028,Active
E. Osmani,F,,8.3,131.75017037322405,Active
F. Petrusev,F,,15.0,255.0544861326916,Active
M. Ndiaye,C,,7.7,91.43479620541191,Active
S. Herrera,G,,5.6,76.56137314238667,Substitute
A. Obst,G,,8.9,146.87113216138883,Substitute
O. Moore,G,,11.3,167.09726477269567,Substitute
D. Motiejunas,C,,7.9,87.62858913066728,Substitute
