Player,Pos,Team,CR,Enhanced_Projection,Role
S. Herrera,G,,5.7,77.0346829668352,Active
N. Hifi,G,,14.0,268.69707293147405,CAPTAIN
T. Luwawu-cabarrot,F,,12.0,208.2967454951395,Active
I. Mike,F,,9.4,145.56039616103268,Active
K. Diop,C,,5.6,45.48593850700432,Active
L. Birutis,C,,6.3,77.95969993294085,Active
T. Dorsey,G,,11.5,178.76680346269663,Substitute
A. Obst,G,,8.2,147.88414165541093,Substitute
W. Baldwin Iv,G,,12.0,183.96135113120823,Substitute
F. Petrusev,F,,15.3,254.91593828872854,Substitute
