Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.2,179.81,204.9,13.481,1
M. Wright,,12.7,149.56,176.25,13.878,0
D. Theis,,14.5,145.41,165.45,11.41,0
T. Jones,,15.2,137.82,162.9,10.717,0
D. Oturu,,11.7,137.13,161.36,13.791,0
W. Tavares,,14.6,119.23,130.39,8.931,1
D. Booker,,12.4,114.4,129.15,10.416,0
M. Kabengele,,13.3,146.21,104.1,7.827,1
D. Hall,,12.4,101.59,101.58,8.192,0
M. Ndiaye,,7.7,87.13,91.44,11.875,0
J. Vesely,,10.5,77.04,86.02,8.192,0
D. Motiejunas,,7.9,73.93,76.54,9.688,1
J. Motley,,11.9,68.13,72.22,6.069,1
J. Pradilla,,9.2,66.93,69.41,7.544,1
E. Izundu,,8.3,66.92,69.04,8.319,0
L. Birutis,,6.5,67.38,67.97,10.457,0
W. Hernangomez,,10.4,63.2,66.1,6.356,0
O. Yurtseven,,9.7,104.08,60.31,6.218,0
N. Melli,,8.7,58.31,58.1,6.679,0
M. Santos,,6.4,54.41,56.14,8.772,0
B. Massa,,6.7,47.85,46.32,6.914,0
K. Diop,,6.0,47.79,45.5,7.584,0
M. Faye,,7.1,45.8,45.07,6.348,0
N. Sako,,8.5,42.45,42.22,4.967,0
B. Fernando,,7.4,43.55,41.31,5.583,0
K. Jones,,9.0,44.11,39.2,4.355,0
M. Diouf,,6.7,38.48,38.07,5.682,0
B. Vautier,,5.8,34.98,35.35,6.094,0
W. Gabriel,,10.1,34.0,34.12,3.378,0
R. Holmes,,11.7,66.45,33.22,2.839,0
K. Hayes,,6.2,31.93,30.3,4.886,0
J. Nebo,,11.6,33.16,29.76,2.565,0
B. Dunston,,5.5,28.15,24.41,4.439,0
A. Bacot Jr.,,9.6,24.62,23.05,2.401,0
A. Diarra,,8.1,22.85,20.02,2.471,0
K. Birch,,5.5,15.07,13.5,2.454,0
I. Bako,,6.6,13.57,11.99,1.817,0
G. Papagiannis,,7.3,28.07,10.56,1.446,0
J. Voigtmann,,8.8,26.21,9.58,1.089,1
D. Mccormack,,7.6,10.2,9.16,1.205,0
Y. Fall,,6.4,6.97,5.84,0.912,0
T. Odiase,,7.1,6.58,5.54,0.78,0
K. Kamenjas,,6.0,6.47,5.44,0.906,0
E. Shahrvin,,4.1,5.53,4.62,1.127,0
U. Plavsic,,6.2,3.3,2.74,0.441,0
S. Sanli,,4.9,3.17,2.62,0.535,0
S. Keita,,4.0,2.22,1.87,0.469,0
B. Dessert,,6.6,2.09,1.74,0.263,0
C. Omoruyi,,8.3,2.08,1.7,0.205,0
K. Antetokounmpo,,4.4,4.23,1.43,0.324,0
I. Kouzeloglou,,4.0,-0.01,0.0,0.0,0
L. Kratzer,,4.0,-4.98,0.0,0.0,0
J. Rivero,,8.8,-0.99,0.0,0.0,0
