Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
D. Oturu,C,,11.6,135.70274814213562,159.24660907548264,0
L. Birutis,C,,6.3,67.42904186507936,67.84534365317894,1
T. Luwawu-cabarrot,F,,12.0,154.21568409090906,208.2967454951395,0
I. Mike,F,,9.4,122.64066650432902,145.56039616103268,0
E. Osmani,F,,9.0,110.1120168650794,130.69032690233715,0
N. Hifi,G,,14.0,175.87260553751813,268.69707293147405,0
W. Baldwin Iv,G,,12.0,135.74599814213562,183.96135113120823,0
T. Dorsey,G,,11.5,132.6022667929293,178.76680346269663,0
A. Obst,G,,8.2,121.96387979797976,147.88414165541093,0
S. Herrera,G,,5.7,69.26763760822517,77.0346829668352,0
