Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,13.8,174.16,264.76,19.186,0,0,90.75,-0.15,0.0,172.8,187.0,4.08,12.836000000000002
S. Vezenkov,F,,17.9,180.67,240.82,13.454,1,0,61.57,-1.42,0.0,196.9,225.0,3.06,12.232
F. Petrusev,F,,15.0,179.7,228.1,15.207,1,0,49.81,-1.41,0.0,185.2,210.0,2.7,12.232
C. Moneke,F,,16.8,179.31,226.65,13.491,0,0,48.75,-1.41,0.0,174.9,202.0,2.67,12.232
S. Francisco,G,,15.7,162.46,217.7,13.866,1,0,55.37,-0.14,0.0,164.1,203.0,3.06,12.836000000000002
M. James,G,,16.7,154.85,215.98,12.933,0,0,61.26,-0.13,0.0,150.6,238.0,3.37,12.836000000000002
T. Luwawu-cabarrot,F,,11.3,155.54,212.01,18.762,0,0,57.68,-1.22,0.0,154.3,227.0,3.23,12.232
K. Nunn,G,,15.2,145.68,208.33,13.706,0,0,62.78,-0.12,0.0,144.8,241.0,3.57,12.836000000000002
N. Milutinov,C,,15.2,179.7,204.78,13.472,1,0,21.86,3.22,0.0,184.1,179.0,1.82,14.4475
J. Nwora,F,,13.0,154.46,193.87,14.913,0,0,40.63,-1.21,0.0,151.4,182.0,2.62,12.232
T. Shengelia,F,,16.5,157.19,193.42,11.722,1,0,37.46,-1.23,0.0,155.2,203.0,2.48,12.232
W. Baldwin Iv,G,,12.2,137.07,184.63,15.134,0,0,47.68,-0.11,0.0,137.6,196.0,3.1,12.836000000000002
T. Dorsey,G,,10.2,132.38,177.39,17.391,0,0,45.12,-0.11,0.0,132.7,220.0,3.06,12.836000000000002
M. Wright,C,,12.7,149.56,176.25,13.878,0,0,24.01,2.68,0.0,149.3,169.0,2.04,14.4475
S. Larkin,G,,13.8,122.97,167.83,12.161,0,0,44.95,-0.1,0.0,124.2,263.0,3.2,12.836000000000002
O. Moore,G,,11.3,132.38,167.1,14.787,0,0,34.82,-0.11,0.0,132.4,182.0,2.62,12.836000000000002
C. Miller-mcintyre,G,,12.1,122.92,166.23,13.738,1,0,43.41,-0.1,0.0,123.4,243.0,3.13,12.836000000000002
D. Theis,C,,14.5,145.59,165.65,11.424,0,0,17.46,2.61,0.0,144.9,181.0,1.81,14.4475
