Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,13.8,174.1,264.68,19.18,0,0,90.72,-0.15,0.0,172.8,187.0,4.08,12.836000000000002
S. Vezenkov,F,,17.9,180.65,240.8,13.452,1,0,61.57,-1.42,0.0,196.9,225.0,3.06,12.232
F. Petrusev,F,,15.0,179.81,228.24,15.216,1,0,49.84,-1.41,0.0,185.2,210.0,2.7,12.232
C. Moneke,F,,16.8,179.31,226.65,13.491,0,0,48.75,-1.41,0.0,174.9,202.0,2.67,12.232
S. Francisco,G,,15.7,162.59,217.86,13.877,1,0,55.41,-0.14,0.0,164.1,203.0,3.06,12.836000000000002
M. James,G,,16.7,154.93,216.09,12.939,0,0,61.29,-0.13,0.0,150.6,238.0,3.37,12.836000000000002
T. Luwawu-cabarrot,F,,11.3,155.22,211.56,18.722,0,0,57.56,-1.22,0.0,154.3,227.0,3.23,12.232
K. Nunn,G,,15.2,145.65,208.29,13.703,0,0,62.77,-0.12,0.0,144.8,241.0,3.57,12.836000000000002
N. Milutinov,C,,15.2,179.81,204.9,13.481,1,0,21.88,3.22,0.0,184.1,179.0,1.82,14.4475
J. Nwora,F,,13.0,154.41,193.81,14.909,0,0,40.62,-1.21,0.0,151.4,182.0,2.62,12.232
T. Shengelia,F,,16.5,157.23,193.47,11.725,1,0,37.47,-1.23,0.0,155.2,203.0,2.48,12.232
W. Baldwin Iv,G,,12.2,137.14,184.74,15.143,0,0,47.71,-0.11,0.0,137.6,196.0,3.1,12.836000000000002
T. Dorsey,G,,10.2,132.3,177.28,17.381,0,0,45.09,-0.11,0.0,132.7,220.0,3.06,12.836000000000002
M. Wright,C,,12.7,149.56,176.25,13.878,0,0,24.01,2.68,0.0,149.3,169.0,2.04,14.4475
S. Larkin,G,,13.8,122.99,167.85,12.163,0,0,44.96,-0.1,0.0,124.2,263.0,3.2,12.836000000000002
O. Moore,G,,11.3,132.33,167.03,14.782,0,0,34.81,-0.11,0.0,132.4,182.0,2.62,12.836000000000002
C. Miller-mcintyre,G,,12.1,122.97,166.3,13.744,1,0,43.43,-0.1,0.0,123.4,243.0,3.13,12.836000000000002
D. Theis,C,,14.5,145.41,165.45,11.41,0,0,17.43,2.6,0.0,144.9,181.0,1.81,14.4475
T. Jones,C,,15.2,137.82,162.9,10.717,0,0,22.61,2.47,0.0,138.6,202.0,2.06,14.4475
D. Oturu,C,,11.7,137.13,161.36,13.791,0,0,21.77,2.45,0.0,137.0,191.0,2.03,14.4475
W. Clyburn,F,,13.6,131.94,159.55,11.732,0,0,28.64,-1.04,0.0,130.5,202.0,2.36,12.232
V. Micic,G,,15.4,122.3,159.12,10.333,1,0,36.93,-0.1,0.0,121.2,201.0,2.84,12.836000000000002
T. Lyles,F,,13.6,131.96,158.87,11.682,0,0,27.95,-1.04,0.0,130.3,165.0,2.33,12.232
E. Bryant,G,,14.6,132.11,158.35,10.846,0,0,26.35,-0.11,0.0,131.4,224.0,2.26,12.836000000000002
H. Diallo,F,,11.6,119.69,150.87,13.006,1,0,32.12,-0.94,0.0,119.5,181.0,2.65,12.232
D. Thompson,G,,11.5,122.68,149.21,12.975,1,0,26.63,-0.1,0.0,124.0,166.0,2.36,12.836000000000002
C. Osman,F,,13.0,122.49,147.9,11.377,0,0,26.38,-0.96,0.0,122.8,213.0,2.35,12.232
A. Obst,G,,8.9,121.98,146.85,16.5,0,0,24.97,-0.1,0.0,121.8,191.0,2.29,12.836000000000002
I. Mike,F,,9.7,122.4,146.72,15.126,0,0,25.28,-0.96,0.0,122.7,193.0,2.3,12.232
A. Diallo,F,,11.6,122.4,145.2,12.517,0,0,23.76,-0.96,0.0,122.6,237.0,2.23,12.232
N. De Colo,G,,12.9,119.06,141.86,10.997,0,0,22.9,-0.1,0.0,118.5,136.0,2.22,12.836000000000002
N. Mirotic,F,,14.2,122.26,140.49,9.894,0,0,19.2,-0.96,0.0,123.5,160.0,2.02,12.232
S. Shields,F,,14.3,114.41,139.37,9.746,1,0,25.85,-0.9,0.0,114.6,214.0,2.41,12.232
C. Edwards,G,,12.6,96.76,134.27,10.657,1,0,37.59,-0.08,0.0,96.9,195.0,3.33,12.836000000000002
A. Blakeney,G,,10.3,109.21,133.22,12.934,0,0,24.1,-0.09,0.0,108.9,164.0,2.38,12.836000000000002
J. Hoard,F,,14.0,114.11,132.34,9.453,0,0,19.13,-0.9,0.0,113.6,222.0,2.08,12.232
E. Osmani,F,,8.3,110.0,131.85,15.886,0,0,22.71,-0.86,0.0,110.1,197.0,2.3,12.232
S. Brown,G,,10.5,103.94,130.46,12.425,1,0,26.61,-0.09,0.0,105.3,234.0,2.58,12.836000000000002
W. Tavares,C,,14.6,119.23,130.39,8.931,1,0,9.03,2.13,0.0,119.6,175.0,1.56,14.4475
J. Robinson,G,,12.2,103.95,129.74,10.634,0,0,25.87,-0.09,0.0,104.2,127.0,2.54,12.836000000000002
I. Bonga,F,,10.1,119.37,129.37,12.809,0,0,10.94,-0.94,0.0,119.1,217.0,1.65,12.232
D. Booker,C,,12.4,114.4,129.15,10.416,0,0,12.7,2.05,0.0,114.5,194.0,1.76,14.4475
L. Walker Iv,G,,13.2,99.5,129.11,9.781,1,0,29.69,-0.08,0.0,99.2,192.0,2.82,12.836000000000002
J. Hernangomez,F,,13.5,115.48,127.4,9.437,1,0,12.82,-0.91,0.0,116.4,210.0,1.76,12.232
D. Bacon,F,,12.2,95.02,122.29,10.024,0,0,28.02,-0.75,0.0,93.7,240.0,2.8,12.232
D. Hall,G,,9.2,103.96,119.82,13.024,0,0,15.95,-0.09,0.0,104.2,204.0,2.0,12.836000000000002
N. Weiler-babb,G,,11.6,108.33,117.97,10.17,1,0,9.73,-0.09,0.0,108.8,218.0,1.64,12.836000000000002
K. Punter,G,,12.9,96.59,116.11,9.001,0,0,19.6,-0.08,0.0,96.7,198.0,2.28,12.836000000000002
G. Watson,G,,10.1,94.18,114.55,11.341,0,0,20.45,-0.08,0.0,93.2,189.0,2.36,12.836000000000002
I. Cordinier,G,,10.1,95.96,111.62,11.051,1,0,15.74,-0.08,0.0,95.9,231.0,2.06,12.836000000000002
O. Brissett,F,,11.9,97.05,108.95,9.155,1,0,12.66,-0.76,0.0,97.3,216.0,1.87,12.232
R. Sorkin,F,,10.6,95.26,108.63,10.248,0,0,14.11,-0.75,0.0,95.0,156.0,1.97,12.232
A. Smailagic,F,,9.3,95.82,105.37,11.33,1,0,10.3,-0.75,0.0,95.5,169.0,1.74,12.232
T. Satoransky,G,,10.4,95.82,104.35,10.034,1,0,8.61,-0.08,0.0,95.7,186.0,1.64,12.836000000000002
M. Kabengele,C,,13.3,146.21,104.1,7.827,1,1,28.38,2.62,73.11,147.0,166.0,2.23,14.4475
D. Hall,C,,12.4,101.59,101.58,8.192,0,0,-1.82,1.82,0.0,100.9,125.0,1.03,14.4475
L. Bolmaro,G,,9.4,88.13,100.34,10.674,0,0,12.28,-0.07,0.0,87.9,185.0,1.92,12.836000000000002
T. Leaf,F,,11.8,96.08,99.88,8.465,0,0,4.56,-0.75,0.0,96.1,139.0,1.4,12.232
C. Malcolm,F,,9.0,97.02,98.8,10.978,1,0,2.54,-0.76,0.0,97.3,198.0,1.28,12.232
M. Hezonja,F,,12.3,79.13,98.06,7.972,0,0,19.56,-0.62,0.0,79.2,168.0,2.53,12.232
K. Taylor,F,,10.0,90.66,97.77,9.777,1,0,7.82,-0.71,0.0,90.9,166.0,1.62,12.232
K. Sloukas,G,,11.8,87.25,97.63,8.274,1,0,10.46,-0.07,0.0,87.0,153.0,1.81,12.836000000000002
M. Wright Iv,G,,10.0,82.58,95.76,9.576,1,0,13.26,-0.07,0.0,83.6,248.0,2.04,12.836000000000002
T. Ward,F,,9.4,86.72,94.29,10.031,0,0,8.25,-0.68,0.0,85.7,168.0,1.67,12.232
T. Blatt,G,,8.0,81.26,94.1,11.762,0,0,12.9,-0.07,0.0,81.8,172.0,2.03,12.836000000000002
E. Okobo,G,,11.5,78.02,93.93,8.168,0,0,15.97,-0.07,0.0,78.0,198.0,2.29,12.836000000000002
M. Ndiaye,C,,7.7,87.13,91.44,11.875,0,0,2.75,1.56,0.0,87.0,183.0,1.31,14.4475
N. Reuvers,F,,7.8,87.16,90.46,11.597,0,0,3.98,-0.68,0.0,87.1,159.0,1.39,12.232
J. Loyd,G,,8.7,79.11,90.06,10.352,0,0,11.02,-0.07,0.0,79.2,176.0,1.92,12.836000000000002
S. Niang,F,,9.1,87.41,89.33,9.816,0,0,2.6,-0.69,0.0,87.4,157.0,1.3,12.232
M. Guduric,G,,10.9,81.07,89.0,8.165,0,0,8.0,-0.07,0.0,81.1,159.0,1.69,12.836000000000002
C. Okeke,F,,12.2,87.23,87.14,7.143,0,0,0.59,-0.69,0.0,87.1,127.0,1.17,12.232
J. Vesely,C,,10.5,77.04,86.02,8.192,0,0,7.6,1.38,0.0,76.9,143.0,1.69,14.4475
A. Brooks,G,,7.3,77.13,84.13,11.525,0,0,7.07,-0.06,0.0,77.3,136.0,1.65,12.836000000000002
B. Colson,F,,9.3,79.26,82.81,8.905,0,0,4.18,-0.62,0.0,79.5,134.0,1.43,12.232
M. Lo,G,,9.3,74.94,82.81,8.904,0,0,7.93,-0.06,0.0,74.7,149.0,1.73,12.836000000000002
N. Kalinic,F,,9.5,78.23,81.33,8.561,1,0,3.71,-0.61,0.0,78.5,205.0,1.4,12.232
M. Costello,F,,9.8,77.64,80.72,8.236,0,0,3.68,-0.61,0.0,77.5,161.0,1.4,12.232
A. Pajola,G,,7.7,77.37,80.15,10.41,0,0,2.85,-0.06,0.0,77.8,154.0,1.34,12.836000000000002
F. Campazzo,G,,13.1,72.0,80.06,6.111,1,0,8.12,-0.06,0.0,72.4,183.0,1.77,12.836000000000002
A. Tubelis,F,,9.1,76.81,79.71,8.759,1,0,3.51,-0.6,0.0,76.6,147.0,1.39,12.232
T. Horton Tucker,G,,9.9,70.13,79.47,8.027,0,0,9.4,-0.06,0.0,70.1,136.0,1.89,12.836000000000002
D. Willis,F,,8.0,76.95,79.45,9.932,0,0,3.11,-0.6,0.0,76.9,144.0,1.36,12.232
T. Maledon,G,,13.3,74.47,78.99,5.939,0,0,4.59,-0.06,0.0,74.5,95.0,1.48,12.836000000000002
O. Da Silva,F,,7.0,82.04,78.62,11.232,0,0,-2.78,-0.64,0.0,83.3,100.0,0.94,12.232
A. Butkevicius,F,,7.0,80.47,77.97,11.139,1,0,-1.87,-0.63,0.0,80.2,166.0,1.0,12.232
C. Jones,G,,10.2,69.95,77.78,7.626,0,0,7.89,-0.06,0.0,69.8,156.0,1.77,12.836000000000002
J. Dowtin Jr,G,,10.6,70.18,77.3,7.292,0,0,7.17,-0.06,0.0,70.4,142.0,1.71,12.836000000000002
Z. Seljaas,F,,9.1,71.52,76.88,8.448,0,0,5.92,-0.56,0.0,71.9,183.0,1.6,12.232
D. Washington,G,,8.6,64.84,76.68,8.916,1,0,11.9,-0.05,0.0,64.9,152.0,2.17,12.836000000000002
S. Herrera,G,,5.6,69.4,76.56,13.671,0,0,7.22,-0.06,0.0,69.1,151.0,1.72,12.836000000000002
D. Motiejunas,C,,7.9,73.93,76.54,9.688,1,0,1.29,1.32,0.0,73.7,103.0,1.23,14.4475
D. Bertans,F,,8.7,67.41,76.03,8.739,0,0,9.15,-0.53,0.0,67.5,177.0,1.9,12.232
M. Morgan,G,,8.0,65.85,75.9,9.487,0,0,10.11,-0.05,0.0,65.8,145.0,2.0,12.836000000000002
M. Strazel,G,,7.4,69.94,74.93,10.126,1,0,5.05,-0.06,0.0,69.5,168.0,1.54,12.836000000000002
T. Sedekerskis,F,,10.3,70.36,73.77,7.162,1,0,3.96,-0.55,0.0,70.2,206.0,1.45,12.232
V. Lucic,F,,8.9,71.22,73.41,8.249,1,0,2.75,-0.56,0.0,71.3,198.0,1.35,12.232
T. Forrest,G,,10.3,70.98,72.41,7.03,0,0,1.48,-0.06,0.0,71.0,98.0,1.25,12.836000000000002
J. Motley,C,,11.9,68.13,72.22,6.069,1,0,2.87,1.22,0.0,68.3,129.0,1.37,14.4475
C. Jones,G,,14.0,67.2,72.0,5.143,0,0,4.85,-0.06,0.0,67.1,150.0,1.54,12.836000000000002
