Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,14.0,172.63,262.65,18.761,0,0,89.52,0.5,0.0,172.8,187.0,4.08,13.086000000000002
S. Vezenkov,F,,17.5,181.65,241.07,13.775,1,0,61.57,-2.16,0.0,196.9,225.0,3.06,11.821000000000002
F. Petrusev,F,,15.3,180.16,227.66,14.88,1,0,49.64,-2.14,0.0,185.2,210.0,2.7,11.821000000000002
C. Moneke,F,,16.6,180.14,226.68,13.655,0,0,48.68,-2.14,0.0,174.9,202.0,2.67,11.821000000000002
S. Francisco,G,,15.8,163.39,219.25,13.877,1,0,55.38,0.47,0.0,164.1,203.0,3.06,13.086000000000002
M. James,G,,16.5,154.09,215.19,13.042,0,0,60.64,0.45,0.0,150.6,238.0,3.37,13.086000000000002
K. Nunn,G,,15.0,146.56,209.82,13.988,0,0,62.84,0.43,0.0,144.8,241.0,3.57,13.086000000000002
T. Luwawu-cabarrot,F,,12.0,153.52,208.33,17.36,0,0,56.63,-1.82,0.0,154.3,227.0,3.23,11.821000000000002
N. Milutinov,C,,15.9,181.08,206.06,12.96,1,0,21.83,3.15,0.0,184.1,179.0,1.82,14.3275
T. Shengelia,F,,16.1,157.67,193.13,11.996,1,0,37.34,-1.87,0.0,155.2,203.0,2.48,11.821000000000002
J. Nwora,F,,12.8,151.15,188.87,14.756,0,0,39.52,-1.8,0.0,151.4,182.0,2.62,11.821000000000002
W. Baldwin Iv,G,,12.0,136.98,184.77,15.398,0,0,47.39,0.4,0.0,137.6,196.0,3.1,13.086000000000002
M. Kabengele,C,,13.8,147.04,177.94,12.894,1,0,28.34,2.56,0.0,147.0,166.0,2.23,14.3275
T. Dorsey,G,,11.5,132.26,177.48,15.433,0,0,44.83,0.38,0.0,132.7,220.0,3.06,13.086000000000002
M. Wright,C,,12.7,149.64,176.09,13.865,0,0,23.84,2.61,0.0,149.3,169.0,2.04,14.3275
S. Larkin,G,,14.0,123.67,169.0,12.072,0,0,44.97,0.36,0.0,124.2,263.0,3.2,13.086000000000002
O. Moore,G,,11.3,132.15,167.08,14.786,0,0,34.55,0.38,0.0,132.4,182.0,2.62,13.086000000000002
C. Miller-mcintyre,G,,12.4,123.29,166.96,13.465,1,0,43.31,0.36,0.0,123.4,243.0,3.13,13.086000000000002
D. Theis,C,,13.5,146.32,166.25,12.315,0,0,17.38,2.55,0.0,144.9,181.0,1.81,14.3275
E. Bryant,G,,16.0,135.74,163.01,10.188,0,0,26.88,0.39,0.0,131.4,224.0,2.26,13.086000000000002
T. Jones,C,,15.0,137.92,162.77,10.852,0,0,22.46,2.4,0.0,138.6,202.0,2.06,14.3275
D. Oturu,C,,11.6,137.15,161.14,13.892,0,0,21.61,2.39,0.0,137.0,191.0,2.03,14.3275
W. Clyburn,F,,13.5,131.87,158.74,11.759,0,0,28.44,-1.57,0.0,130.5,202.0,2.36,11.821000000000002
T. Lyles,F,,13.6,132.04,158.25,11.636,0,0,27.78,-1.57,0.0,130.3,165.0,2.33,11.821000000000002
V. Micic,G,,14.7,121.13,157.85,10.738,1,0,36.36,0.35,0.0,121.2,201.0,2.84,13.086000000000002
