Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.0,181.43,239.72,14.101,1
F. Petrusev,,15.4,180.04,226.47,14.706,1
C. Moneke,,16.1,179.71,225.11,13.982,0
T. Luwawu-cabarrot,,12.0,153.93,208.0,17.333,0
T. Shengelia,,15.5,156.01,190.2,12.271,1
J. Nwora,,12.7,151.5,188.43,14.837,0
W. Clyburn,,13.1,131.93,158.05,12.065,0
T. Lyles,,14.0,132.02,157.46,11.247,0
H. Diallo,,11.0,119.92,149.79,13.617,1
C. Osman,,12.1,122.93,147.05,12.153,0
I. Mike,,9.0,122.73,145.73,16.192,0
A. Diallo,,11.6,122.92,144.45,12.452,0
N. Mirotic,,14.0,123.27,140.3,10.021,0
S. Shields,,13.6,114.08,137.68,10.123,1
E. Osmani,,9.4,110.22,130.87,13.923,0
J. Hoard,,14.3,113.77,130.68,9.139,0
I. Bonga,,10.2,119.78,128.52,12.6,0
J. Hernangomez,,13.1,114.59,125.17,9.555,1
D. Bacon,,11.8,93.79,119.62,10.137,0
O. Brissett,,11.0,97.13,107.98,9.816,1
R. Sorkin,,11.8,95.05,107.34,9.097,0
T. Leaf,,12.1,95.77,98.54,8.144,0
C. Malcolm,,8.6,97.11,97.87,11.38,0
M. Hezonja,,10.9,79.42,97.53,8.947,0
K. Taylor,,10.4,90.94,97.1,9.336,1
T. Ward,,9.5,86.88,93.53,9.845,0
N. Reuvers,,7.7,87.17,89.53,11.628,0
S. Niang,,8.8,87.37,88.36,10.04,0
C. Okeke,,11.1,87.25,86.23,7.769,0
B. Colson,,9.8,79.47,82.19,8.387,0
N. Kalinic,,9.9,78.46,80.73,8.155,1
M. Costello,,9.7,77.31,79.54,8.2,0
A. Tubelis,,10.0,76.74,78.82,7.882,1
D. Willis,,8.5,76.82,78.5,9.235,0
O. Da Silva,,7.2,81.52,77.27,10.733,0
Z. Seljaas,,9.4,71.7,76.3,8.117,0
D. Bertans,,7.8,66.9,74.73,9.58,0
T. Sedekerskis,,10.5,70.19,72.83,6.936,0
V. Lucic,,9.2,71.32,72.75,7.908,1
K. Jallow,,8.8,71.24,71.17,8.087,0
D. Osetkowski,,8.6,70.08,70.13,8.155,0
G. Deck,,8.8,71.55,69.58,7.907,0
J. Parker,,10.0,60.98,66.5,6.65,0
J. Blossomgame,,8.7,63.1,62.7,7.207,1
K. Mitoglou,,8.6,60.06,58.09,6.755,0
R. Smits,,7.3,57.71,57.75,7.911,0
A. Smailagic,,9.4,95.5,56.23,5.982,0
D. Lighty,,5.2,55.72,54.1,10.403,0
S. Ojeleye,,9.5,55.57,53.75,5.658,0
G. Ricci,,5.3,55.12,53.02,10.005,0
A. Dokossi,,6.8,57.6,52.37,7.701,0
E. Ulanovas,,7.7,52.88,50.96,6.619,1
J. Parra,,6.5,50.14,47.71,7.339,0
J. Morgan,,7.4,50.62,47.63,6.436,0
D. Sleva,,7.8,48.12,47.05,6.032,0
J. Jessup,,6.5,47.92,45.51,7.001,0
I. Wainright,,6.8,46.13,43.64,6.418,0
Z. Leday,,14.9,45.82,42.39,2.845,0
M. Jantunen,,7.8,43.39,41.66,5.341,0
V. Marinkovic,,6.1,42.33,41.39,6.785,1
A. Traore,,8.6,44.04,41.13,4.782,0
A. M'baye,,6.7,38.62,39.33,5.871,0
D. Hommes,,6.1,42.64,38.69,6.343,0
A. Butkevicius,,6.9,79.96,36.66,5.313,0
E. Jackson,,4.0,34.37,32.57,8.144,0
N. Giffey,,5.0,33.84,31.6,6.32,0
M. Diakite,,8.2,34.27,31.09,3.792,0
D. Musa,,12.4,34.14,31.04,2.503,0
D. Alston Jr.,,7.8,31.59,29.61,3.796,1
U. Garuba,,6.5,31.2,27.98,4.304,0
C. Frisch,,6.2,31.48,27.9,4.5,0
A. Peters,,8.5,25.55,23.99,2.823,0
A. Abalde,,5.1,25.64,23.18,4.545,1
M. Cale,,5.7,25.58,23.08,4.049,0
T. Ginat,,6.9,24.54,22.13,3.208,0
L. Cavaliere,,4.4,24.93,21.44,4.872,0
N. Rogkavopoulos,,6.7,22.83,20.0,2.984,0
M. Norris,,7.8,20.75,17.77,2.278,0
R. Kurucs,,6.3,19.76,17.3,2.747,1
C. Swider,,7.6,19.81,17.2,2.264,0
J. Anderson,,6.0,19.77,17.2,2.867,0
K. Papanikolaou,,5.9,19.59,17.09,2.896,0
M. Birsen,,4.0,19.7,16.7,4.175,0
D. Davidovac,,4.5,39.04,15.28,3.396,0
T. Biberovic,,5.9,15.08,15.22,2.58,1
M. Ajinca,,4.0,14.32,14.48,3.619,0
I. Brazdeikis,,5.7,15.04,13.04,2.287,1
N. Sestina,,4.3,13.99,12.35,2.873,0
S. Harrison,,6.0,14.12,11.91,1.986,1
A. Samodurov,,4.0,14.17,11.41,2.853,0
O. Dobric,,5.9,10.07,8.63,1.462,0
O. Bitim,,5.0,9.73,8.31,1.662,0
P. Kalaitzakis,,4.0,10.16,8.25,2.064,0
O. Diop,,4.0,6.38,5.06,1.264,0
E. Yilmaz,,4.0,6.03,4.85,1.212,0
S. Joksimovic,,4.0,3.25,2.62,0.656,0
G. Procida,,6.2,3.23,2.56,0.412,0
M. Muurinen,,5.0,1.2,0.95,0.189,0
G. Lavi,,5.6,1.13,0.89,0.158,0
N. Dangubic,,4.0,0.08,0.06,0.015,0
W. Rayman,,4.6,0.01,0.01,0.001,0
G. Grinvalds,,4.0,0.0,0.0,0.0,0
V. Hrabar,,4.0,0.0,0.0,0.0,0
N. Akele,,4.0,-0.72,0.0,0.0,0
I. Almansa,,5.2,-2.17,0.0,0.0,0
A. Abass,,5.6,-3.49,0.0,0.0,0
A. Pokusevski,,5.7,-4.7,0.0,0.0,1
