Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.5,181.65,241.07,13.775,1
F. Petrusev,,15.3,180.16,227.66,14.88,1
C. Moneke,,16.6,180.14,226.68,13.655,0
T. Luwawu-cabarrot,,12.0,153.52,208.33,17.36,0
T. Shengelia,,16.1,157.67,193.13,11.996,1
J. Nwora,,12.8,151.15,188.87,14.756,0
W. Clyburn,,13.5,131.87,158.74,11.759,0
T. Lyles,,13.6,132.04,158.25,11.636,0
H. Diallo,,11.2,119.95,150.52,13.44,1
C. Osman,,12.3,122.92,147.75,12.012,0
I. Mike,,9.4,122.72,146.43,15.577,0
A. Diallo,,11.6,122.88,145.11,12.509,0
N. Mirotic,,14.0,123.25,140.98,10.07,0
S. Shields,,14.1,114.11,138.37,9.814,1
E. Osmani,,9.0,110.12,131.4,14.6,0
J. Hoard,,14.4,113.79,131.37,9.123,0
I. Bonga,,10.0,119.78,129.21,12.921,0
J. Hernangomez,,13.4,114.59,125.83,9.391,1
D. Bacon,,11.9,93.72,120.09,10.091,0
O. Brissett,,11.1,97.13,108.54,9.778,1
R. Sorkin,,11.7,95.12,107.97,9.228,0
A. Smailagic,,9.5,95.57,104.61,11.012,1
T. Leaf,,12.2,95.78,99.1,8.123,0
C. Malcolm,,8.7,97.14,98.46,11.317,1
M. Hezonja,,11.6,79.46,98.04,8.451,0
K. Taylor,,10.1,90.99,97.67,9.671,1
T. Ward,,9.2,86.9,94.05,10.223,0
N. Reuvers,,8.0,87.19,90.06,11.257,0
S. Niang,,8.9,87.39,88.88,9.987,0
C. Okeke,,11.6,87.19,86.69,7.473,0
B. Colson,,9.6,79.53,82.71,8.616,0
N. Kalinic,,9.9,78.45,81.17,8.199,1
M. Costello,,9.5,77.24,79.92,8.413,0
A. Tubelis,,9.5,76.73,79.26,8.343,1
D. Willis,,8.6,76.77,78.89,9.174,0
O. Da Silva,,7.6,81.54,77.77,10.232,1
A. Butkevicius,,7.2,79.84,76.99,10.693,1
Z. Seljaas,,9.7,71.69,76.71,7.908,0
D. Bertans,,8.2,66.83,75.04,9.151,0
T. Sedekerskis,,10.1,70.16,73.22,7.249,1
V. Lucic,,9.3,71.3,73.15,7.866,1
K. Jallow,,9.0,71.23,71.57,7.953,0
D. Osetkowski,,8.9,70.07,70.52,7.924,1
G. Deck,,9.2,71.5,69.95,7.603,0
J. Parker,,10.1,60.94,66.82,6.615,0
J. Blossomgame,,8.3,63.08,63.05,7.597,1
K. Mitoglou,,8.6,60.08,58.46,6.798,0
R. Smits,,7.4,57.67,58.05,7.844,0
D. Lighty,,5.3,55.8,54.5,10.283,0
