Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.9,180.94,205.64,12.933,1
M. Kabengele,,13.8,146.75,177.38,12.854,1
M. Wright,,12.7,150.01,176.3,13.882,0
D. Theis,,13.5,146.75,166.53,12.335,0
T. Jones,,15.0,136.0,160.31,10.687,0
D. Oturu,,11.6,135.7,159.25,13.728,0
W. Tavares,,14.6,119.17,129.98,8.903,1
D. Booker,,12.3,114.04,128.41,10.44,0
D. Hall,,12.0,101.73,101.47,8.455,0
M. Ndiaye,,7.7,87.08,91.14,11.837,0
J. Vesely,,10.7,77.12,85.88,8.026,0
D. Motiejunas,,7.6,74.32,76.74,10.098,1
J. Motley,,11.8,68.07,71.97,6.099,0
J. Pradilla,,8.9,67.22,69.53,7.812,1
E. Izundu,,8.6,67.09,69.04,8.028,0
L. Birutis,,6.3,67.43,67.85,10.769,1
W. Hernangomez,,10.2,63.09,65.82,6.453,0
O. Yurtseven,,9.5,104.14,60.05,6.321,0
N. Melli,,8.9,58.3,57.94,6.51,0
M. Santos,,6.0,54.29,55.87,9.311,0
B. Massa,,6.4,47.93,46.29,7.232,0
K. Diop,,5.6,47.89,45.49,8.122,0
M. Faye,,7.1,45.81,44.97,6.333,0
N. Sako,,8.3,42.42,42.08,5.07,0
B. Fernando,,7.2,43.38,41.05,5.702,0
K. Jones,,8.5,43.95,38.96,4.583,0
M. Diouf,,7.4,38.35,37.84,5.114,1
B. Vautier,,5.7,35.12,35.4,6.21,0
R. Holmes,,11.5,66.63,33.14,2.882,0
J. Nebo,,11.1,33.68,30.15,2.716,0
K. Hayes,,6.3,31.64,29.94,4.753,0
B. Dunston,,5.7,28.08,24.29,4.262,1
A. Bacot Jr.,,9.1,24.72,23.09,2.537,0
J. Voigtmann,,8.6,26.27,22.68,2.637,0
A. Diarra,,8.2,22.85,19.97,2.435,0
W. Gabriel,,9.4,34.1,17.08,1.817,0
K. Birch,,5.5,15.0,13.4,2.437,0
I. Bako,,6.4,13.64,12.02,1.877,0
G. Papagiannis,,7.1,28.05,10.49,1.478,0
D. Mccormack,,6.9,10.3,9.22,1.337,0
Y. Fall,,6.2,6.95,5.81,0.937,0
T. Odiase,,6.6,6.65,5.59,0.847,0
K. Kamenjas,,6.9,6.49,5.45,0.789,0
E. Shahrvin,,4.0,5.43,4.53,1.132,0
K. Antetokounmpo,,4.2,4.31,3.6,0.856,0
U. Plavsic,,5.9,3.31,2.74,0.465,0
S. Sanli,,4.4,3.23,2.67,0.606,0
S. Keita,,4.0,2.29,1.93,0.482,0
B. Dessert,,6.4,2.12,1.76,0.276,0
C. Omoruyi,,8.1,2.1,1.71,0.211,0
L. Kratzer,,4.0,-4.9,0.0,0.0,0
I. Kouzeloglou,,4.0,-0.07,0.0,0.0,0
J. Rivero,,8.6,-0.52,0.0,0.0,0
