Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,10.2,177.2840991283305,Active
N. Hifi,G,,13.8,264.6783813559986,CAPTAIN
T. Luwawu-cabarrot,F,,11.3,211.5601251807129,Active
E. Osmani,F,,8.3,131.8518347946172,Active
D. Lighty,F,,5.3,54.61007714920283,Active
M. Santos,C,,6.4,56.14069639929039,Active
S. Herrera,G,,5.6,76.55605044386395,Substitute
A. Obst,G,,8.9,146.84759613202823,Substitute
F. Petrusev,F,,15.0,255.21244588524664,Substitute
N. Milutinov,C,,15.2,231.87632413508987,Substitute
