Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
M. Wright,C,,12.9,150.26723766233758,177.04265238360347,0
L. Birutis,C,,6.4,67.37295853174602,67.9861955176068,0
T. Luwawu-cabarrot,F,,11.6,154.19643686868682,209.00958121370553,0
I. Mike,F,,9.2,122.61678317099567,146.11956803387886,0
E. Osmani,F,,8.9,110.07243472222224,131.1707598104153,0
N. Hifi,G,,13.9,176.1765376803753,268.1808708252404,0
W. Baldwin Iv,G,,12.4,135.69930647546897,183.14281198231745,0
T. Dorsey,G,,10.9,132.5766667929293,177.9944075542214,0
A. Obst,G,,8.3,121.96450479797977,147.20608026229652,0
S. Herrera,G,,5.4,69.21753046536801,76.5937124725195,0
