Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,14.9,179.82,205.57,13.797,1
M. Wright,,12.4,149.12,176.28,14.216,0
D. Theis,,14.0,145.22,165.77,11.841,0
T. Jones,,14.9,138.5,164.21,11.021,0
D. Oturu,,11.9,137.05,161.77,13.594,0
W. Tavares,,14.6,119.19,130.79,8.958,1
D. Booker,,12.8,114.28,129.44,10.113,0
M. Kabengele,,13.4,145.73,104.3,7.783,1
D. Hall,,12.6,101.63,101.99,8.095,0
M. Ndiaye,,7.5,87.11,91.73,12.231,0
J. Vesely,,10.4,77.03,86.3,8.298,0
D. Motiejunas,,7.7,74.03,76.91,9.988,1
J. Motley,,11.8,68.11,72.45,6.14,0
J. Pradilla,,9.2,66.93,69.65,7.571,1
E. Izundu,,8.3,66.91,69.28,8.347,0
L. Birutis,,6.8,67.36,68.2,10.03,1
W. Hernangomez,,10.8,63.17,66.3,6.139,0
O. Yurtseven,,9.8,104.05,60.68,6.191,0
N. Melli,,8.6,58.27,58.28,6.777,0
M. Santos,,6.7,54.52,56.45,8.425,0
B. Massa,,6.8,47.89,46.54,6.845,0
K. Diop,,6.0,47.83,45.72,7.62,0
M. Faye,,7.0,45.85,45.28,6.469,0
N. Sako,,8.8,42.45,42.37,4.815,0
B. Fernando,,7.3,43.51,41.44,5.677,0
K. Jones,,9.2,44.11,39.36,4.278,0
M. Diouf,,6.4,38.45,38.18,5.966,0
B. Vautier,,6.1,34.97,35.47,5.814,0
W. Gabriel,,9.8,33.98,34.23,3.492,0
R. Holmes,,11.8,66.39,33.44,2.834,0
K. Hayes,,6.3,31.82,30.31,4.811,0
J. Nebo,,11.7,33.23,29.94,2.559,0
B. Dunston,,5.5,28.17,24.54,4.461,0
A. Bacot Jr.,,9.9,24.61,23.13,2.336,0
J. Voigtmann,,8.9,26.18,22.76,2.557,1
A. Diarra,,8.3,22.81,20.07,2.418,0
K. Birch,,5.5,15.09,13.57,2.467,0
I. Bako,,6.7,13.55,12.01,1.793,0
G. Papagiannis,,7.4,28.06,10.66,1.441,0
D. Mccormack,,7.9,10.2,9.2,1.164,0
Y. Fall,,6.8,6.97,5.86,0.862,0
T. Odiase,,7.2,6.56,5.55,0.771,0
K. Kamenjas,,6.1,6.45,5.45,0.893,0
E. Shahrvin,,4.2,5.52,4.64,1.104,0
U. Plavsic,,6.6,3.3,2.75,0.416,0
S. Sanli,,5.0,3.17,2.64,0.528,0
S. Keita,,4.0,2.22,1.88,0.47,0
B. Dessert,,6.7,2.08,1.74,0.26,0
C. Omoruyi,,8.4,2.08,1.71,0.203,0
K. Antetokounmpo,,4.5,4.23,1.44,0.321,0
I. Kouzeloglou,,4.0,-0.01,0.0,0.0,0
L. Kratzer,,4.0,-4.96,0.0,0.0,0
J. Rivero,,8.9,-0.98,0.0,0.0,0
