Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
M. Wright,C,,12.0,148.64575694444449,173.82124411050472,0
M. Ndiaye,C,,7.2,87.15656488095239,90.7118544140123,0
T. Luwawu-cabarrot,F,,11.9,153.72784960317466,208.18044398703572,0
H. Diallo,F,,10.6,119.65960275974015,149.82098063425389,1
I. Mike,F,,8.8,122.51606479076476,145.84494984817675,0
N. Hifi,G,,13.3,174.87000530303038,267.0699613989284,0
T. Dorsey,G,,11.5,133.01759570707083,179.25420042683086,0
O. Moore,G,,11.4,132.92385404040414,168.82674601169103,0
A. Obst,G,,7.8,121.98764395743142,147.84644442003523,0
S. Herrera,G,,5.2,70.17565178571431,78.00625145380212,1
