Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.9,182.08,205.87,12.947,1
M. Kabengele,,13.8,145.7,175.25,12.699,1
M. Wright,,12.0,148.65,173.82,14.485,0
D. Theis,,13.5,145.85,164.65,12.196,0
T. Jones,,14.7,136.81,160.47,10.916,0
D. Oturu,,12.0,136.39,159.25,13.271,0
W. Tavares,,14.8,119.46,129.59,8.756,1
D. Booker,,11.9,113.73,127.39,10.705,0
O. Yurtseven,,9.3,104.87,112.29,12.074,0
D. Hall,,11.8,101.49,100.62,8.527,0
M. Ndiaye,,7.2,87.16,90.71,12.599,0
J. Vesely,,10.8,76.87,85.15,7.885,0
D. Motiejunas,,7.8,74.01,75.99,9.742,1
J. Motley,,12.1,67.74,71.22,5.886,0
J. Pradilla,,9.0,66.67,68.57,7.618,1
E. Izundu,,8.4,66.64,68.18,8.117,0
L. Birutis,,6.0,66.82,66.84,11.139,0
W. Hernangomez,,10.3,63.34,65.7,6.378,0
N. Melli,,9.1,57.96,57.26,6.292,0
M. Santos,,6.4,53.89,55.14,8.616,0
B. Massa,,6.4,48.0,46.07,7.198,0
K. Diop,,5.8,47.95,45.26,7.804,0
M. Faye,,7.2,45.88,44.76,6.216,0
N. Sako,,7.3,42.36,41.77,5.722,0
B. Fernando,,7.3,43.57,40.98,5.613,1
K. Jones,,7.8,44.03,38.77,4.97,0
M. Diouf,,8.0,38.2,37.47,4.683,1
B. Vautier,,5.6,34.67,34.74,6.203,0
W. Gabriel,,8.8,33.89,33.72,3.832,0
R. Holmes,,11.3,66.54,32.7,2.894,0
K. Hayes,,6.8,31.63,29.75,4.375,0
J. Nebo,,11.1,33.34,29.65,2.671,0
B. Dunston,,5.6,28.39,24.4,4.357,0
A. Bacot Jr.,,8.7,24.5,22.74,2.614,0
J. Voigtmann,,8.0,26.12,22.4,2.8,1
A. Diarra,,7.7,22.5,19.54,2.537,0
K. Birch,,5.2,15.15,13.45,2.586,0
I. Bako,,6.1,13.95,12.21,2.001,0
G. Papagiannis,,6.9,28.3,10.42,1.51,0
D. Mccormack,,6.6,10.25,9.12,1.382,0
Y. Fall,,6.1,6.84,5.67,0.93,0
T. Odiase,,6.4,6.76,5.64,0.882,0
K. Kamenjas,,6.7,6.4,5.33,0.795,0
E. Shahrvin,,4.0,5.53,4.58,1.145,0
K. Antetokounmpo,,4.0,4.24,3.51,0.878,0
U. Plavsic,,5.4,3.31,2.72,0.504,0
S. Sanli,,4.2,3.3,2.71,0.645,0
S. Keita,,4.0,2.31,1.93,0.483,0
B. Dessert,,6.1,2.08,1.71,0.281,0
C. Omoruyi,,7.4,2.04,1.65,0.223,0
L. Kratzer,,4.0,-5.3,0.0,0.0,0
J. Rivero,,8.4,-0.89,0.0,0.0,0
I. Kouzeloglou,,4.0,-0.01,0.0,0.0,0
