Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,11.5,178.52169702711203,Active
N. Hifi,G,,13.9,265.92609185377324,CAPTAIN
I. Mike,F,,9.0,145.7278639226421,Active
F. Petrusev,F,,15.4,253.48020844607314,Active
T. Luwawu-cabarrot,F,,12.0,207.99554032458258,Active
D. Motiejunas,C,,7.5,87.25716179977286,Active
A. Obst,G,,8.2,147.33329144854946,Substitute
S. Herrera,G,,5.1,88.25886160626075,Substitute
O. Moore,G,,11.2,168.03737936114524,Substitute
L. Birutis,C,,6.2,67.16965631620523,Substitute
