Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.9,180.65,240.8,13.452,1
F. Petrusev,,15.0,179.81,228.24,15.216,1
C. Moneke,,16.8,179.31,226.65,13.491,0
T. Luwawu-cabarrot,,11.3,155.22,211.56,18.722,0
J. Nwora,,13.0,154.41,193.81,14.909,0
T. Shengelia,,16.5,157.23,193.47,11.725,1
W. Clyburn,,13.6,131.94,159.55,11.732,0
T. Lyles,,13.6,131.96,158.87,11.682,0
H. Diallo,,11.6,119.69,150.87,13.006,1
C. Osman,,13.0,122.49,147.9,11.377,0
I. Mike,,9.7,122.4,146.72,15.126,0
A. Diallo,,11.6,122.4,145.2,12.517,0
N. Mirotic,,14.2,122.26,140.49,9.894,0
S. Shields,,14.3,114.41,139.37,9.746,1
J. Hoard,,14.0,114.11,132.34,9.453,0
E. Osmani,,8.3,110.0,131.85,15.886,0
I. Bonga,,10.1,119.37,129.37,12.809,0
J. Hernangomez,,13.5,115.48,127.4,9.437,1
D. Bacon,,12.2,95.02,122.29,10.024,0
O. Brissett,,11.9,97.05,108.95,9.155,1
R. Sorkin,,10.6,95.26,108.63,10.248,0
A. Smailagic,,9.3,95.82,105.37,11.33,1
T. Leaf,,11.8,96.08,99.88,8.465,0
C. Malcolm,,9.0,97.02,98.8,10.978,1
M. Hezonja,,12.3,79.13,98.06,7.972,0
K. Taylor,,10.0,90.66,97.77,9.777,1
T. Ward,,9.4,86.72,94.29,10.031,0
N. Reuvers,,7.8,87.16,90.46,11.597,0
S. Niang,,9.1,87.41,89.33,9.816,0
C. Okeke,,12.2,87.23,87.14,7.143,0
B. Colson,,9.3,79.26,82.81,8.905,0
N. Kalinic,,9.5,78.23,81.33,8.561,1
M. Costello,,9.8,77.64,80.72,8.236,0
A. Tubelis,,9.1,76.81,79.71,8.759,1
D. Willis,,8.0,76.95,79.45,9.932,0
O. Da Silva,,7.0,82.04,78.62,11.232,0
A. Butkevicius,,7.0,80.47,77.97,11.139,1
Z. Seljaas,,9.1,71.52,76.88,8.448,0
D. Bertans,,8.7,67.41,76.03,8.739,0
T. Sedekerskis,,10.3,70.36,73.77,7.162,1
V. Lucic,,8.9,71.22,73.41,8.249,1
K. Jallow,,8.9,71.18,71.86,8.074,0
D. Osetkowski,,8.7,69.89,70.68,8.125,1
G. Deck,,9.6,71.32,70.11,7.303,0
J. Parker,,10.8,60.5,66.63,6.17,0
J. Blossomgame,,8.5,62.98,63.24,7.44,1
K. Mitoglou,,7.9,60.25,58.9,7.456,1
R. Smits,,6.8,56.85,57.49,8.454,0
D. Lighty,,5.3,55.65,54.61,10.304,0
S. Ojeleye,,9.3,55.55,54.31,5.84,0
G. Ricci,,5.3,55.2,53.67,10.127,0
A. Dokossi,,7.2,56.66,52.09,7.235,0
E. Ulanovas,,7.6,53.23,51.85,6.823,0
J. Morgan,,7.4,50.2,47.75,6.453,0
J. Parra,,6.3,49.45,47.56,7.549,0
D. Sleva,,8.0,47.81,47.25,5.907,0
J. Jessup,,6.6,47.65,45.75,6.932,0
I. Wainright,,7.6,46.34,44.33,5.832,0
