Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,13.9,176.18,268.18,19.294,0,0,91.37,0.64,0.0,172.8,187.0,4.08,13.219
S. Vezenkov,F,,17.9,182.07,241.34,13.483,1,0,61.71,-2.44,0.0,196.9,225.0,3.06,11.752500000000001
F. Petrusev,F,,15.2,180.96,228.39,15.026,1,0,49.86,-2.43,0.0,185.2,210.0,2.7,11.752500000000001
C. Moneke,F,,16.7,181.68,228.35,13.673,0,0,49.1,-2.44,0.0,174.9,202.0,2.67,11.752500000000001
S. Francisco,G,,15.6,161.32,216.59,13.884,1,0,54.68,0.58,0.0,164.1,203.0,3.06,13.219
M. James,G,,16.4,151.5,211.67,12.906,0,0,59.62,0.55,0.0,150.6,238.0,3.37,13.219
K. Nunn,G,,15.6,146.94,210.48,13.492,0,0,63.01,0.53,0.0,144.8,241.0,3.57,13.219
T. Luwawu-cabarrot,F,,11.6,154.2,209.01,18.018,0,0,56.88,-2.07,0.0,154.3,227.0,3.23,11.752500000000001
N. Milutinov,C,,15.8,181.02,206.26,13.055,1,0,21.82,3.42,0.0,184.1,179.0,1.82,14.532
T. Shengelia,F,,16.5,155.06,189.7,11.497,1,0,36.72,-2.08,0.0,155.2,203.0,2.48,11.752500000000001
J. Nwora,F,,12.9,151.59,189.19,14.666,0,0,39.63,-2.03,0.0,151.4,182.0,2.62,11.752500000000001
W. Baldwin Iv,G,,12.4,135.7,183.14,14.77,0,0,46.95,0.49,0.0,137.6,196.0,3.1,13.219
T. Dorsey,G,,10.9,132.58,177.99,16.33,0,0,44.94,0.48,0.0,132.7,220.0,3.06,13.219
M. Wright,C,,12.9,150.27,177.04,13.724,0,0,23.94,2.84,0.0,149.3,169.0,2.04,14.532
S. Larkin,G,,14.4,123.19,168.44,11.697,0,0,44.79,0.45,0.0,124.2,263.0,3.2,13.219
O. Moore,G,,11.6,132.66,167.82,14.467,0,0,34.68,0.48,0.0,132.4,182.0,2.62,13.219
D. Theis,C,,14.0,146.89,167.11,11.937,0,0,17.45,2.77,0.0,144.9,181.0,1.81,14.532
C. Miller-mcintyre,G,,12.0,123.08,166.77,13.897,1,0,43.24,0.45,0.0,123.4,243.0,3.13,13.219
T. Jones,C,,15.1,135.95,160.65,10.639,0,0,22.14,2.57,0.0,138.6,202.0,2.06,14.532
D. Oturu,C,,11.6,135.58,159.5,13.75,0,0,21.36,2.56,0.0,137.0,191.0,2.03,14.532
V. Micic,G,,15.2,121.83,158.85,10.451,1,0,36.57,0.44,0.0,121.2,201.0,2.84,13.219
W. Clyburn,F,,13.5,132.1,158.82,11.764,0,0,28.49,-1.77,0.0,130.5,202.0,2.36,11.752500000000001
E. Bryant,G,,15.6,132.13,158.78,10.178,0,0,26.17,0.48,0.0,131.4,224.0,2.26,13.219
T. Lyles,F,,14.0,132.33,158.4,11.314,0,0,27.84,-1.78,0.0,130.3,165.0,2.33,11.752500000000001
D. Thompson,G,,11.7,122.89,149.84,12.807,1,0,26.5,0.45,0.0,124.0,166.0,2.36,13.219
H. Diallo,F,,11.6,119.22,149.42,12.881,1,0,31.8,-1.6,0.0,119.5,181.0,2.65,11.752500000000001
C. Osman,F,,12.4,122.73,147.34,11.882,0,0,26.25,-1.65,0.0,122.8,213.0,2.35,11.752500000000001
A. Obst,G,,8.3,121.96,147.21,17.736,0,0,24.8,0.44,0.0,121.8,191.0,2.29,13.219
I. Mike,F,,9.2,122.62,146.12,15.883,0,0,25.15,-1.65,0.0,122.7,193.0,2.3,11.752500000000001
A. Diallo,F,,11.7,122.66,144.66,12.364,0,0,23.64,-1.65,0.0,122.6,237.0,2.23,11.752500000000001
N. De Colo,G,,12.8,119.06,142.23,11.112,0,0,22.74,0.43,0.0,118.5,136.0,2.22,13.219
N. Mirotic,F,,14.3,122.97,140.47,9.823,0,0,19.16,-1.65,0.0,123.5,160.0,2.02,11.752500000000001
C. Edwards,G,,12.7,97.02,134.87,10.62,1,0,37.5,0.35,0.0,96.9,195.0,3.33,13.219
A. Blakeney,G,,10.2,109.48,133.87,13.124,0,0,24.0,0.4,0.0,108.9,164.0,2.38,13.219
J. Hoard,F,,14.0,114.03,131.46,9.39,0,0,18.97,-1.53,0.0,113.6,222.0,2.08,11.752500000000001
E. Osmani,F,,8.9,110.07,131.17,14.738,0,0,22.58,-1.48,0.0,110.1,197.0,2.3,11.752500000000001
S. Brown,G,,10.4,103.7,130.45,12.543,1,0,26.38,0.38,0.0,105.3,234.0,2.58,13.219
W. Tavares,C,,14.0,119.22,130.39,9.313,1,0,8.91,2.25,0.0,119.6,175.0,1.56,14.532
J. Robinson,G,,12.5,103.82,129.88,10.391,0,0,25.68,0.38,0.0,104.2,127.0,2.54,13.219
L. Walker Iv,G,,13.0,99.48,129.35,9.95,1,0,29.51,0.36,0.0,99.2,192.0,2.82,13.219
D. Booker,C,,12.5,114.06,128.76,10.301,0,0,12.55,2.15,0.0,114.5,194.0,1.76,14.532
I. Bonga,F,,10.1,119.1,128.29,12.702,0,0,10.79,-1.6,0.0,119.1,217.0,1.65,11.752500000000001
J. Hernangomez,F,,13.6,115.29,126.42,9.296,1,0,12.68,-1.55,0.0,116.4,210.0,1.76,11.752500000000001
D. Bacon,F,,12.2,94.69,121.18,9.933,0,0,27.76,-1.27,0.0,93.7,240.0,2.8,11.752500000000001
